variant,mean,min,max,complete_seed_failures,seed_count
baseline_sare,0.0000,0.0000,0.0000,3,3
flat_dense,1.0000,1.0000,1.0000,0,3
kl_lss_sare,1.0000,1.0000,1.0000,0,3
recovered_token_dense,0.3333,0.0000,1.0000,2,3
