active_compute_proxy,approx_kl,entropy,env_id,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,explained_variance,global_step,gpu_utilization,greedy,loss,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,policy_loss,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,rollout/action_entropy,rollout/action_greedy_match,rollout/action_logit_margin,rollout/action_max_prob,rollout/action_selected_prob,route_entropy,run_dir,step,temperature,throughput_fps,train/episode_length,train/episode_return,train/episodes_completed,train/success_rate,value_loss,variant,wall_clock_seconds
1.0,3.441396984271705e-06,0.04449308663606644,MiniGrid-DoorKey-5x5-v0,0.03958043764847322,1.0,6.6372021905482,0.993213618768721,,,11.0,0.9924698246868102,0.993461550129358,6.6372021905482,0.993213618768721,10.75,0.9612999856472015,1.0,,,,,0.7953310012817383,163840.0,33.0,True,-9.974807471735403e-05,greedy,,,,,-0.00010011616541305557,,3.3921360969543457,,,,0.044614069163799286,0.990234375,6.541656494140625,0.9916849136352539,0.9836087226867676,0.0,outputs/experiments/sare_retest/minigrid_doorkey_flat_dense_ent1e3,80,1.0,9062.62109375,11.043478260869565,0.9602434738822605,184.0,1.0,8.972350042313337e-05,flat_dense,18.078657150268555
1.0,3.441396984271705e-06,0.04449308663606644,MiniGrid-DoorKey-5x5-v0,0.039598901723722005,0.9953125,6.636971744316112,0.9932243620624239,,,11.0,0.992667559866358,0.9934422411826237,6.636971744316112,0.9932243620624239,10.84375,0.9609624855220318,1.0,,,,,0.7953310012817383,163840.0,33.0,False,-9.974807471735403e-05,sampled_t1.0,,,,,-0.00010011616541305557,,3.3921360969543457,,,,0.044614069163799286,0.990234375,6.541656494140625,0.9916849136352539,0.9836087226867676,0.0,outputs/experiments/sare_retest/minigrid_doorkey_flat_dense_ent1e3,80,1.0,9062.62109375,11.043478260869565,0.9602434738822605,184.0,1.0,8.972350042313337e-05,flat_dense,18.078657150268555
1.0,3.441396984271705e-06,0.04449308663606644,MiniGrid-DoorKey-5x5-v0,0.007283143177156725,1.0,6.6372021905482,0.9986769841560844,,,11.0,0.9990352053440861,0.9985575770934171,6.6372021905482,0.9986769841560844,10.75,0.9612999856472015,1.0,,,,,0.7953310012817383,163840.0,33.0,False,-9.974807471735403e-05,sampled_t0.7,,,,,-0.00010011616541305557,,3.3921360969543457,,,,0.044614069163799286,0.990234375,6.541656494140625,0.9916849136352539,0.9836087226867676,0.0,outputs/experiments/sare_retest/minigrid_doorkey_flat_dense_ent1e3,80,0.7,9062.62109375,11.043478260869565,0.9602434738822605,184.0,1.0,8.972350042313337e-05,flat_dense,18.078657150268555
1.0,3.441396984271705e-06,0.04449308663606644,MiniGrid-DoorKey-5x5-v0,0.0016968043745105013,1.0,6.6372021905482,0.999682339156471,,,11.0,0.999915601474134,0.9996045850505832,6.6372021905482,0.999682339156471,10.75,0.9612999856472015,1.0,,,,,0.7953310012817383,163840.0,33.0,False,-9.974807471735403e-05,sampled_t0.5,,,,,-0.00010011616541305557,,3.3921360969543457,,,,0.044614069163799286,0.990234375,6.541656494140625,0.9916849136352539,0.9836087226867676,0.0,outputs/experiments/sare_retest/minigrid_doorkey_flat_dense_ent1e3,80,0.5,9062.62109375,11.043478260869565,0.9602434738822605,184.0,1.0,8.972350042313337e-05,flat_dense,18.078657150268555
0.5,0.00042319518979638815,1.1411707401275635,MiniGrid-DoorKey-5x5-v0,1.3489481330439448,1.0,0.4032957535088062,0.4131705073192716,0.4032957535088062,0.4131705073192716,250.0,,0.4131705073192716,,,250.0,0.0,0.0,0.25566473603248596,0.2483406960964203,0.24796438217163086,0.2480301558971405,0.38549813628196716,163840.0,59.5,True,0.0010491777211427689,greedy,1.0,1.0,1.0,1.2103241682052612,-0.0002369527064729482,11.561259269714355,6.0301008224487305,0.7924177646636963,11.301618576049805,0.2966660261154175,1.1425076723098755,0.52587890625,0.8140869140625,0.527287483215332,0.4108598232269287,1.3854732513427734,outputs/experiments/sare_retest/minigrid_doorkey_sare_ent1e3,80,1.0,5748.6376953125,70.0,0.744296321162471,27.0,0.9629629629629629,0.004854602739214897,sare,28.500667572021484
0.5,0.00042319518979638815,1.1411707401275635,MiniGrid-DoorKey-5x5-v0,1.2170147910290847,0.5076335775994932,0.7094640828791549,0.493349693827948,0.4441112633943558,0.4077353637292981,52.0,0.4868319252783888,0.49910066607755904,0.7094640828791549,0.493349693827948,63.96875,0.7697125049307942,1.0,0.25566473603248596,0.2483406960964203,0.24796438217163086,0.2480301558971405,0.38549813628196716,163840.0,59.5,False,0.0010491777211427689,sampled_t1.0,1.0,1.0,1.0,1.2103241682052612,-0.0002369527064729482,11.561259269714355,6.0301008224487305,0.7924177646636963,11.301618576049805,0.2966660261154175,1.1425076723098755,0.52587890625,0.8140869140625,0.527287483215332,0.4108598232269287,1.3854732513427734,outputs/experiments/sare_retest/minigrid_doorkey_sare_ent1e3,80,1.0,5748.6376953125,70.0,0.744296321162471,27.0,0.9629629629629629,0.004854602739214897,sare,28.500667572021484
0.5,0.00042319518979638815,1.1411707401275635,MiniGrid-DoorKey-5x5-v0,1.0416885285544715,0.5768295994453679,0.7119708020730174,0.5706757077244223,0.4441112633943558,0.4077353637292981,39.0,0.5472103051305979,0.5913804747189735,0.7119708020730174,0.5706757077244223,49.5625,0.821574998088181,1.0,0.25566473603248596,0.2483406960964203,0.24796438217163086,0.2480301558971405,0.38549813628196716,163840.0,59.5,False,0.0010491777211427689,sampled_t0.7,1.0,1.0,1.0,1.2103241682052612,-0.0002369527064729482,11.561259269714355,6.0301008224487305,0.7924177646636963,11.301618576049805,0.2966660261154175,1.1425076723098755,0.52587890625,0.8140869140625,0.527287483215332,0.4108598232269287,1.3854732513427734,outputs/experiments/sare_retest/minigrid_doorkey_sare_ent1e3,80,0.7,5748.6376953125,70.0,0.744296321162471,27.0,0.9629629629629629,0.004854602739214897,sare,28.500667572021484
0.5,0.00042319518979638815,1.1411707401275635,MiniGrid-DoorKey-5x5-v0,0.8580337229733502,0.6674180538197304,0.7082248126739488,0.655810808314105,0.4441112633943558,0.4077353637292981,38.5,0.6496048500786316,0.6620167665495782,0.7082248126739488,0.655810808314105,47.5625,0.8287750007584691,1.0,0.25566473603248596,0.2483406960964203,0.24796438217163086,0.2480301558971405,0.38549813628196716,163840.0,59.5,False,0.0010491777211427689,sampled_t0.5,1.0,1.0,1.0,1.2103241682052612,-0.0002369527064729482,11.561259269714355,6.0301008224487305,0.7924177646636963,11.301618576049805,0.2966660261154175,1.1425076723098755,0.52587890625,0.8140869140625,0.527287483215332,0.4108598232269287,1.3854732513427734,outputs/experiments/sare_retest/minigrid_doorkey_sare_ent1e3,80,0.5,5748.6376953125,70.0,0.744296321162471,27.0,0.9629629629629629,0.004854602739214897,sare,28.500667572021484
1.0,9.545735520077869e-05,1.402591586112976,MiniGrid-DoorKey-5x5-v0,1.4687883661538361,1.0,1.0261713844984768,0.4863118882775307,1.0261713844984768,0.4863118882775307,250.0,,0.4863118882775307,,,250.0,0.0,0.0,1.0,,,,-0.11633290350437164,163840.0,41.25,True,-9.936100104823709e-05,greedy,1.0,1.0,1.0,0.0,6.20721111772582e-05,11.346480369567871,8.053329467773438,0.6303296089172363,11.344894409179688,0.5205738544464111,1.3966861963272095,0.52392578125,1.2325553894042969,0.5277422070503235,0.34492120146751404,0.0,outputs/experiments/sare_retest/minigrid_doorkey_single_expert_ent1e3,80,1.0,6509.1201171875,183.1,0.29084000587463377,10.0,0.5,0.0024823166895657778,single_expert,25.170835494995117
1.0,9.545735520077869e-05,1.402591586112976,MiniGrid-DoorKey-5x5-v0,1.3840784340595418,0.5240867395700541,1.2431617688153918,0.5303738346118233,1.2324321585893632,0.5295130724757909,142.5,0.5437823649080544,0.5169653043155922,1.2467383055574013,0.5306607553238342,152.0,0.427800003439188,0.75,1.0,,,,-0.11633290350437164,163840.0,41.25,False,-9.936100104823709e-05,sampled_t1.0,1.0,1.0,1.0,0.0,6.20721111772582e-05,11.346480369567871,8.053329467773438,0.6303296089172363,11.344894409179688,0.5205738544464111,1.3966861963272095,0.52392578125,1.2325553894042969,0.5277422070503235,0.34492120146751404,0.0,outputs/experiments/sare_retest/minigrid_doorkey_single_expert_ent1e3,80,1.0,6509.1201171875,183.1,0.29084000587463377,10.0,0.5,0.0024823166895657778,single_expert,25.170835494995117
1.0,9.545735520077869e-05,1.402591586112976,MiniGrid-DoorKey-5x5-v0,1.075683316314358,0.6562967352696006,1.1708540735665278,0.6603369545768195,1.1072909838199616,0.6476438013235729,242.5,0.6473892025734697,0.6732847065801693,1.2269391527546745,0.6715367956826254,190.4375,0.2675499990582466,0.53125,1.0,,,,-0.11633290350437164,163840.0,41.25,False,-9.936100104823709e-05,sampled_t0.7,1.0,1.0,1.0,0.0,6.20721111772582e-05,11.346480369567871,8.053329467773438,0.6303296089172363,11.344894409179688,0.5205738544464111,1.3966861963272095,0.52392578125,1.2325553894042969,0.5277422070503235,0.34492120146751404,0.0,outputs/experiments/sare_retest/minigrid_doorkey_single_expert_ent1e3,80,0.7,6509.1201171875,183.1,0.29084000587463377,10.0,0.5,0.0024823166895657778,single_expert,25.170835494995117
1.0,9.545735520077869e-05,1.402591586112976,MiniGrid-DoorKey-5x5-v0,0.6836337335331119,0.8105029992093472,1.2057975552479077,0.8101323228424664,1.1956056322173065,0.8076178706947126,250.0,,0.8101323228424664,1.220693442754171,0.8138072913661067,206.0,0.19902499997988343,0.40625,1.0,,,,-0.11633290350437164,163840.0,41.25,False,-9.936100104823709e-05,sampled_t0.5,1.0,1.0,1.0,0.0,6.20721111772582e-05,11.346480369567871,8.053329467773438,0.6303296089172363,11.344894409179688,0.5205738544464111,1.3966861963272095,0.52392578125,1.2325553894042969,0.5277422070503235,0.34492120146751404,0.0,outputs/experiments/sare_retest/minigrid_doorkey_single_expert_ent1e3,80,0.5,6509.1201171875,183.1,0.29084000587463377,10.0,0.5,0.0024823166895657778,single_expert,25.170835494995117
1.0,0.0018079292494803667,0.6933594942092896,MiniGrid-DoorKey-5x5-v0,0.7565562661740048,1.0,1.7735184233709589,0.7346958066771399,0.38208812910318374,0.49688416975736616,11.0,0.618116239461673,0.8144607737193015,2.2373285214602174,0.8139663523170645,70.3125,0.7218749895691872,0.75,,,,,-0.26575955748558044,163840.0,50.75,True,-0.0015510106459259987,greedy,,,,,-0.001858749077655375,11.344731330871582,9.628033638000488,0.46740901470184326,11.334890365600586,0.7347953915596008,0.6950254440307617,0.75146484375,1.9503059387207031,0.767733097076416,0.658501386642456,0.0,outputs/experiments/sare_retest/minigrid_doorkey_token_dense_ent1e3,80,1.0,6047.84814453125,16.225806451612904,0.9415870789558657,124.0,1.0,0.002002195455133915,token_dense,27.090627670288086
