active_compute_proxy,approx_kl,entropy,env_id,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,explained_variance,global_step,gpu_utilization,greedy,loss,mode,policy_loss,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,rollout/action_entropy,rollout/action_greedy_match,rollout/action_logit_margin,rollout/action_max_prob,rollout/action_selected_prob,route_entropy,run_dir,step,temperature,throughput_fps,train/episode_length,train/episode_return,train/episodes_completed,train/success_rate,value_loss,variant,wall_clock_seconds
1.0,4.5217959268484265e-05,1.6611180305480957,MiniGrid-DoorKey-5x5-v0,1.7180617683827877,1.0,0.3296962944343686,0.31532976061105733,0.3296962944343686,0.31532976061105733,250.0,,0.31532976061105733,,,250.0,0.0,0.0,0.29110515117645264,163840.0,52.5,True,-0.015406978316605091,greedy,-0.00020604391465894878,11.362844467163086,10.850804328918457,0.24053743481636047,11.359248161315918,0.9316902756690979,1.6597800254821777,0.3583984375,0.5713715553283691,0.363915354013443,0.23363959789276123,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_baseline_probe,80,1.0,6017.34326171875,176.22222222222223,0.3100444475809733,9.0,0.4444444444444444,0.0028204922564327717,token_dense,27.227964401245117
1.0,4.5217959268484265e-05,1.6611180305480957,MiniGrid-DoorKey-5x5-v0,1.661112058449763,0.3649016765745118,0.5829725521268764,0.36396339121325505,0.5871785551350692,0.36617250483817065,250.0,,0.36396339121325505,0.5423145230476784,0.342608626172404,240.5,0.04357500094920397,0.09375,0.29110515117645264,163840.0,52.5,False,-0.015406978316605091,sampled_t1.0,-0.00020604391465894878,11.362844467163086,10.850804328918457,0.24053743481636047,11.359248161315918,0.9316902756690979,1.6597800254821777,0.3583984375,0.5713715553283691,0.363915354013443,0.23363959789276123,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_baseline_probe,80,1.0,6017.34326171875,176.22222222222223,0.3100444475809733,9.0,0.4444444444444444,0.0028204922564327717,token_dense,27.227964401245117
1.0,4.5217959268484265e-05,1.6611180305480957,MiniGrid-DoorKey-5x5-v0,1.47208062932321,0.45664359723640235,0.5914011049465469,0.45595354928219956,0.5905489596703956,0.4566694854621229,250.0,,0.45595354928219956,0.5996385092826751,0.4490328328762733,239.0625,0.04874999914318323,0.09375,0.29110515117645264,163840.0,52.5,False,-0.015406978316605091,sampled_t0.7,-0.00020604391465894878,11.362844467163086,10.850804328918457,0.24053743481636047,11.359248161315918,0.9316902756690979,1.6597800254821777,0.3583984375,0.5713715553283691,0.363915354013443,0.23363959789276123,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_baseline_probe,80,0.7,6017.34326171875,176.22222222222223,0.3100444475809733,9.0,0.4444444444444444,0.0028204922564327717,token_dense,27.227964401245117
1.0,4.5217959268484265e-05,1.6611180305480957,MiniGrid-DoorKey-5x5-v0,1.22415913773531,0.5692178860214131,0.6035497347288366,0.5661640661582061,0.5998075473010539,0.5655488164424897,250.0,,0.5661640661582061,0.6297450467233145,0.5704708141682219,230.6875,0.08202499896287918,0.125,0.29110515117645264,163840.0,52.5,False,-0.015406978316605091,sampled_t0.5,-0.00020604391465894878,11.362844467163086,10.850804328918457,0.24053743481636047,11.359248161315918,0.9316902756690979,1.6597800254821777,0.3583984375,0.5713715553283691,0.363915354013443,0.23363959789276123,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_baseline_probe,80,0.5,6017.34326171875,176.22222222222223,0.3100444475809733,9.0,0.4444444444444444,0.0028204922564327717,token_dense,27.227964401245117
1.0,5.470610631164163e-06,1.488488793373108,MiniGrid-DoorKey-5x5-v0,1.5334235970824956,1.0,0.5415423250570893,0.4121933847479522,0.5415423250570893,0.4121933847479522,250.0,,0.4121933847479522,,,250.0,0.0,0.0,-0.24841167032718658,163840.0,60.75,True,-0.014791779220104218,greedy,-6.087042856961489e-05,11.3717622756958,11.079906463623047,0.151070237159729,11.370326042175293,0.9703086614608765,1.4877674579620361,0.4384765625,0.6396865844726562,0.44715335965156555,0.28647860884666443,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_depth4,80,1.0,4971.5126953125,234.0,0.08759999871253968,10.0,0.3,0.00030795534257777035,token_dense,32.95576095581055
1.0,5.470610631164163e-06,1.488488793373108,MiniGrid-DoorKey-5x5-v0,1.4911962309345128,0.44615606945601205,0.635462474139985,0.4451102165692215,0.6319918658222471,0.44420509722828866,250.0,,0.4451102165692215,0.6597567323641508,0.4514460519557514,237.25,0.05840000044554472,0.125,-0.24841167032718658,163840.0,60.75,False,-0.014791779220104218,sampled_t1.0,-6.087042856961489e-05,11.3717622756958,11.079906463623047,0.151070237159729,11.370326042175293,0.9703086614608765,1.4877674579620361,0.4384765625,0.6396865844726562,0.44715335965156555,0.28647860884666443,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_depth4,80,1.0,4971.5126953125,234.0,0.08759999871253968,10.0,0.3,0.00030795534257777035,token_dense,32.95576095581055
1.0,5.470610631164163e-06,1.488488793373108,MiniGrid-DoorKey-5x5-v0,1.248106466631341,0.542275462962963,0.5978041292266358,0.5456682012972752,0.5963217297474545,0.5452836419741313,250.0,,0.5456682012972752,0.6200401214143587,0.5514365911444343,239.5,0.04404999874532223,0.0625,-0.24841167032718658,163840.0,60.75,False,-0.014791779220104218,sampled_t0.7,-6.087042856961489e-05,11.3717622756958,11.079906463623047,0.151070237159729,11.370326042175293,0.9703086614608765,1.4877674579620361,0.4384765625,0.6396865844726562,0.44715335965156555,0.28647860884666443,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_depth4,80,0.7,4971.5126953125,234.0,0.08759999871253968,10.0,0.3,0.00030795534257777035,token_dense,32.95576095581055
1.0,5.470610631164163e-06,1.488488793373108,MiniGrid-DoorKey-5x5-v0,0.9979158314817456,0.6509560889929743,0.5716040770553088,0.6528164773679161,0.568062271062533,0.6517450456380846,250.0,,0.6528164773679161,0.6247311669469438,0.6688879533153926,238.03125,0.04933749884366989,0.0625,-0.24841167032718658,163840.0,60.75,False,-0.014791779220104218,sampled_t0.5,-6.087042856961489e-05,11.3717622756958,11.079906463623047,0.151070237159729,11.370326042175293,0.9703086614608765,1.4877674579620361,0.4384765625,0.6396865844726562,0.44715335965156555,0.28647860884666443,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_depth4,80,0.5,4971.5126953125,234.0,0.08759999871253968,10.0,0.3,0.00030795534257777035,token_dense,32.95576095581055
1.0,0.0004214561195112765,1.4973514080047607,MiniGrid-DoorKey-5x5-v0,1.5323238518834115,1.0,0.6862096287161112,0.4346113402470946,0.6862096287161112,0.4346113402470946,250.0,,0.4346113402470946,,,250.0,0.0,0.0,0.4463406205177307,163840.0,49.0,True,-0.01344376616179943,greedy,-0.0010986598208546638,11.334061622619629,10.969100952148438,0.20375733077526093,11.342794418334961,0.9479078054428101,1.4976383447647095,0.45947265625,0.8006057739257812,0.45901232957839966,0.2997318208217621,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_depth4_fully_observed,80,1.0,4924.6181640625,77.32,0.7176480102539062,25.0,0.96,0.005256813019514084,token_dense,33.26958465576172
1.0,0.0004214561195112765,1.4973514080047607,MiniGrid-DoorKey-5x5-v0,1.4699387304091087,0.4748733373497689,0.8518214796704435,0.4756663159313938,0.8975423399209976,0.4921583287119865,65.5,0.47043519791627525,0.4808974339465123,0.8487734223204064,0.4745668484126876,81.125,0.7017000019550323,0.9375,0.4463406205177307,163840.0,49.0,False,-0.01344376616179943,sampled_t1.0,-0.0010986598208546638,11.334061622619629,10.969100952148438,0.20375733077526093,11.342794418334961,0.9479078054428101,1.4976383447647095,0.45947265625,0.8006057739257812,0.45901232957839966,0.2997318208217621,0.0,outputs/diagnostics/tokenization_gap/minigrid_doorkey_token_dense_depth4_fully_observed,80,1.0,4924.6181640625,77.32,0.7176480102539062,25.0,0.96,0.005256813019514084,token_dense,33.26958465576172
