active_compute_proxy,approx_kl,entropy,env_id,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,explained_variance,global_step,gpu_utilization,greedy,loss,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,policy_loss,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,rollout/action_entropy,rollout/action_greedy_match,rollout/action_logit_margin,rollout/action_max_prob,rollout/action_selected_prob,route_entropy,run_dir,step,temperature,throughput_fps,train/episode_length,train/episode_return,train/episodes_completed,train/success_rate,value_loss,variant,wall_clock_seconds
1.0,1.0767689673230052e-05,1.6706271171569824,MiniGrid-DoorKey-5x5-v0,1.668949190169573,1.0,0.809189974732697,0.37912692097947,0.809189974732697,0.37912692097947,250.0,,0.37912692097947,,,250.0,0.0,0.0,1.0,-1.4539239406585693,163840.0,50.25,True,0.0002083055005641654,greedy,1.0,1.0,1.0,0.0,-0.00017279002349823713,11.353416442871094,7.7914323806762695,0.648138701915741,11.346360206604004,0.48663651943206787,1.6700491905212402,0.37255859375,0.7634449005126953,0.37463098764419556,0.23048697412014008,0.0,outputs/experiments/token_recovery/minigrid_doorkey_single_expert_ent0,80,1.0,6518.576171875,226.0,0.10306666294733684,6.0,0.16666666666666666,0.0007621909608133137,single_expert,25.134323120117188
1.0,1.0767689673230052e-05,1.6706271171569824,MiniGrid-DoorKey-5x5-v0,1.6773164003306145,0.37155743243243244,0.7478466797955334,0.3689376020593367,0.7503554326257398,0.36947780945993236,250.0,,0.3689376020593367,0.6700753420591354,0.35219117264087135,246.8125,0.014600000344216824,0.03125,1.0,-1.4539239406585693,163840.0,50.25,False,0.0002083055005641654,sampled_t1.0,1.0,1.0,1.0,0.0,-0.00017279002349823713,11.353416442871094,7.7914323806762695,0.648138701915741,11.346360206604004,0.48663651943206787,1.6700491905212402,0.37255859375,0.7634449005126953,0.37463098764419556,0.23048697412014008,0.0,outputs/experiments/token_recovery/minigrid_doorkey_single_expert_ent0,80,1.0,6518.576171875,226.0,0.10306666294733684,6.0,0.16666666666666666,0.0007621909608133137,single_expert,25.134323120117188
1.0,1.0767689673230052e-05,1.6706271171569824,MiniGrid-DoorKey-5x5-v0,1.4752401363849639,0.48175,0.7701590419113636,0.47725203718990084,0.7701590419113636,0.47725203718990084,250.0,,0.47725203718990084,,,250.0,0.0,0.0,1.0,-1.4539239406585693,163840.0,50.25,False,0.0002083055005641654,sampled_t0.7,1.0,1.0,1.0,0.0,-0.00017279002349823713,11.353416442871094,7.7914323806762695,0.648138701915741,11.346360206604004,0.48663651943206787,1.6700491905212402,0.37255859375,0.7634449005126953,0.37463098764419556,0.23048697412014008,0.0,outputs/experiments/token_recovery/minigrid_doorkey_single_expert_ent0,80,0.7,6518.576171875,226.0,0.10306666294733684,6.0,0.16666666666666666,0.0007621909608133137,single_expert,25.134323120117188
1.0,1.0767689673230052e-05,1.6706271171569824,MiniGrid-DoorKey-5x5-v0,1.1948061566129327,0.6105,0.7584891669675708,0.6010395422466099,0.7584891669675708,0.6010395422466099,250.0,,0.6010395422466099,,,250.0,0.0,0.0,1.0,-1.4539239406585693,163840.0,50.25,False,0.0002083055005641654,sampled_t0.5,1.0,1.0,1.0,0.0,-0.00017279002349823713,11.353416442871094,7.7914323806762695,0.648138701915741,11.346360206604004,0.48663651943206787,1.6700491905212402,0.37255859375,0.7634449005126953,0.37463098764419556,0.23048697412014008,0.0,outputs/experiments/token_recovery/minigrid_doorkey_single_expert_ent0,80,0.5,6518.576171875,226.0,0.10306666294733684,6.0,0.16666666666666666,0.0007621909608133137,single_expert,25.134323120117188
1.0,9.545735520077869e-05,1.402591586112976,MiniGrid-DoorKey-5x5-v0,1.4687883661538361,1.0,1.0261713844984768,0.4863118882775307,1.0261713844984768,0.4863118882775307,250.0,,0.4863118882775307,,,250.0,0.0,0.0,1.0,-0.11633290350437164,163840.0,42.0,True,-9.936100104823709e-05,greedy,1.0,1.0,1.0,0.0,6.20721111772582e-05,11.346480369567871,8.053329467773438,0.6303296089172363,11.344894409179688,0.5205738544464111,1.3966861963272095,0.52392578125,1.2325553894042969,0.5277422070503235,0.34492120146751404,0.0,outputs/experiments/token_recovery/minigrid_doorkey_single_expert_ent1e3,80,1.0,6486.01123046875,183.1,0.29084000587463377,10.0,0.5,0.0024823166895657778,single_expert,25.260520935058594
1.0,9.545735520077869e-05,1.402591586112976,MiniGrid-DoorKey-5x5-v0,1.3840784340595418,0.5240867395700541,1.2431617688153918,0.5303738346118233,1.2324321585893632,0.5295130724757909,142.5,0.5437823649080544,0.5169653043155922,1.2467383055574013,0.5306607553238342,152.0,0.427800003439188,0.75,1.0,-0.11633290350437164,163840.0,42.0,False,-9.936100104823709e-05,sampled_t1.0,1.0,1.0,1.0,0.0,6.20721111772582e-05,11.346480369567871,8.053329467773438,0.6303296089172363,11.344894409179688,0.5205738544464111,1.3966861963272095,0.52392578125,1.2325553894042969,0.5277422070503235,0.34492120146751404,0.0,outputs/experiments/token_recovery/minigrid_doorkey_single_expert_ent1e3,80,1.0,6486.01123046875,183.1,0.29084000587463377,10.0,0.5,0.0024823166895657778,single_expert,25.260520935058594
1.0,9.545735520077869e-05,1.402591586112976,MiniGrid-DoorKey-5x5-v0,1.075683316314358,0.6562967352696006,1.1708540735665278,0.6603369545768195,1.1072909838199616,0.6476438013235729,242.5,0.6473892025734697,0.6732847065801693,1.2269391527546745,0.6715367956826254,190.4375,0.2675499990582466,0.53125,1.0,-0.11633290350437164,163840.0,42.0,False,-9.936100104823709e-05,sampled_t0.7,1.0,1.0,1.0,0.0,6.20721111772582e-05,11.346480369567871,8.053329467773438,0.6303296089172363,11.344894409179688,0.5205738544464111,1.3966861963272095,0.52392578125,1.2325553894042969,0.5277422070503235,0.34492120146751404,0.0,outputs/experiments/token_recovery/minigrid_doorkey_single_expert_ent1e3,80,0.7,6486.01123046875,183.1,0.29084000587463377,10.0,0.5,0.0024823166895657778,single_expert,25.260520935058594
1.0,9.545735520077869e-05,1.402591586112976,MiniGrid-DoorKey-5x5-v0,0.6836337335331119,0.8105029992093472,1.2057975552479077,0.8101323228424664,1.1956056322173065,0.8076178706947126,250.0,,0.8101323228424664,1.220693442754171,0.8138072913661067,206.0,0.19902499997988343,0.40625,1.0,-0.11633290350437164,163840.0,42.0,False,-9.936100104823709e-05,sampled_t0.5,1.0,1.0,1.0,0.0,6.20721111772582e-05,11.346480369567871,8.053329467773438,0.6303296089172363,11.344894409179688,0.5205738544464111,1.3966861963272095,0.52392578125,1.2325553894042969,0.5277422070503235,0.34492120146751404,0.0,outputs/experiments/token_recovery/minigrid_doorkey_single_expert_ent1e3,80,0.5,6486.01123046875,183.1,0.29084000587463377,10.0,0.5,0.0024823166895657778,single_expert,25.260520935058594
1.0,9.982702613342553e-05,1.5478585958480835,MiniGrid-DoorKey-5x5-v0,1.7210039800256491,1.0,0.324490434654057,0.297014686409384,0.324490434654057,0.297014686409384,250.0,,0.297014686409384,,,250.0,0.0,0.0,,0.23976075649261475,163840.0,49.0,True,0.00020233358372934163,greedy,,,,,-0.0003330563777126372,11.35006332397461,10.978099822998047,0.21927492320537567,11.363767623901367,0.943149745464325,1.5441166162490845,0.41162109375,0.6640071868896484,0.4211828410625458,0.27927935123443604,0.0,outputs/experiments/token_recovery/minigrid_doorkey_token_dense_ent0,80,1.0,6057.3955078125,220.08333333333334,0.14103334148724875,12.0,0.3333333333333333,0.001070779631845653,token_dense,27.047927856445312
1.0,9.982702613342553e-05,1.5478585958480835,MiniGrid-DoorKey-5x5-v0,1.5575925354081557,0.40545210756074906,0.6413286064453309,0.4131124339772061,0.6257882561626887,0.40807154346931557,250.0,,0.4131124339772061,0.670996547894011,0.42273595221954263,214.09375,0.1636374988593161,0.34375,,0.23976075649261475,163840.0,49.0,False,0.00020233358372934163,sampled_t1.0,,,,,-0.0003330563777126372,11.35006332397461,10.978099822998047,0.21927492320537567,11.363767623901367,0.943149745464325,1.5441166162490845,0.41162109375,0.6640071868896484,0.4211828410625458,0.27927935123443604,0.0,outputs/experiments/token_recovery/minigrid_doorkey_token_dense_ent0,80,1.0,6057.3955078125,220.08333333333334,0.14103334148724875,12.0,0.3333333333333333,0.001070779631845653,token_dense,27.047927856445312
