active_compute_proxy,best_round_disagreement,best_round_greedy_success,best_round_index,best_round_path_entropy,best_round_post_unlock_frac,best_round_route_entropy,block,checkpoint_path,config_path,eval_return,final_greedy_success,final_round_active_compute_proxy,final_round_disagreement,final_round_path_entropy,final_round_post_unlock_frac,final_round_route_entropy,final_sampled_success,label,lane,method,path_entropy,route_entropy,run_dir,seed,variant
1.0,0.0,0.0,0,0.0,0.0,0.0,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/token_dense_ent1e3/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/token_dense_ent1e3/resolved_config.yaml,0.9558999836444855,1.0,0.0,0.0,0.0,0.0,0.0,1.0,recovered_token_dense,post_pass_a,baseline_recovered_token_dense,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/token_dense_ent1e3,71,token_dense
0.5,0.0,0.0,0,0.0,0.0,0.0,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/sare_ent1e3/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/sare_ent1e3/resolved_config.yaml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,baseline_sare,post_pass_a,baseline_sare,0.41337089709937574,1.380941409111023,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/sare_ent1e3,71,sare
1.0,0.11458333333333333,1.0,1,0.0,0.3736979166666667,0.0,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_token_dense/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_token_dense/student_resolved_config.yaml,0.9198812376707792,0.953125,1.0,0.445074415308292,0.0,0.04913772738010867,0.0,1.0,kl_lss_token_dense,post_pass_a,post_unlock_weighted,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_token_dense,71,token_dense
1.0,0.492625,0.625,3,0.0,0.0,0.0,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_single_expert/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_single_expert/student_resolved_config.yaml,0.6054812427610159,0.625,1.0,0.6796486090775988,0.0,0.4522693997071742,0.0,1.0,kl_lss_single_expert,post_pass_a,post_unlock_weighted,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_single_expert,71,single_expert
0.5,0.976125,1.0,4,0.5658979075849057,0.7511875,1.3803196600675582,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_sare/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_sare/student_resolved_config.yaml,0.9655749872326851,1.0,0.5,0.976125,0.5658979075849057,0.7511875,1.3803196600675582,1.0,kl_lss_sare,post_pass_a,post_unlock_weighted,0.6226301752490762,1.378303262922499,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_sare,71,sare
1.0,0.0,0.0,0,0.0,0.0,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/token_dense_ent1e3/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/token_dense_ent1e3/resolved_config.yaml,0.9549437332898378,1.0,0.0,0.0,0.0,0.0,0.0,1.0,recovered_token_dense,post_pass_b,baseline_recovered_token_dense,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/token_dense_ent1e3,73,token_dense
0.5,0.0,0.0,0,0.0,0.0,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/sare_ent1e3/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/sare_ent1e3/resolved_config.yaml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,baseline_sare,post_pass_b,baseline_sare,0.6320122619867324,1.383715795993805,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/sare_ent1e3,73,sare
1.0,0.11424903722721438,1.0,1,0.0,0.37098844672657255,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_token_dense/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_token_dense/student_resolved_config.yaml,0.9650687370449305,1.0,1.0,0.0015527950310559005,0.0,0.453416149068323,0.0,1.0,kl_lss_token_dense,post_pass_b,post_unlock_weighted,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_token_dense,73,token_dense
1.0,0.652375,0.0,1,0.0,0.0,0.0,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_single_expert/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_single_expert/student_resolved_config.yaml,0.0,0.0,1.0,0.622875,0.0,0.72075,0.0,0.609375,kl_lss_single_expert,post_pass_b,post_unlock_weighted,0.0,0.0,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_single_expert,73,single_expert
0.5,0.7274113082039911,1.0,3,0.7130073911301555,0.041019955654102,1.3794869074348766,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_sare/latest.pt,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_sare/student_resolved_config.yaml,0.9650687370449305,1.0,0.5,0.0015527950310559005,0.7555278146968168,0.453416149068323,1.3780366462819718,1.0,kl_lss_sare,post_pass_b,post_unlock_weighted,0.75665400646351,1.3778214557671253,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_sare,73,sare
