before_best_sampled_mode,before_best_sampled_success,before_greedy_success,best_round_greedy_success,best_round_index,final_best_sampled_success,final_greedy_success,git_commit,git_dirty,name,run_name,student_checkpoint,student_config,student_variant,target,teacher_checkpoint,teacher_config,teacher_variant,weighting
sampled_t1.0,1.0,0.0,0.5,4,0.53125,0.5,bbf942e98636063e42aa416f32afecf936e034ab,True,flat_dense_to_sare_lss,flat_dense_to_sare_lss,outputs/reproductions/teacher_extraction_baseline/minigrid_doorkey_sare_ent1e3/latest.pt,configs/experiments/minigrid_doorkey_sare_ent1e3.yaml,sare,policy_head_plus_last_shared,outputs/reproductions/teacher_extraction_baseline/minigrid_doorkey_flat_dense_ent1e3/latest.pt,configs/experiments/minigrid_doorkey_flat_dense_ent1e3.yaml,flat_dense,uniform
sampled_t0.5,0.125,0.0,0.0,1,0.0,0.0,bbf942e98636063e42aa416f32afecf936e034ab,True,flat_dense_to_token_dense_lss,flat_dense_to_token_dense_lss,outputs/reproductions/teacher_extraction_baseline/minigrid_doorkey_token_dense/latest.pt,configs/experiments/minigrid_doorkey_token_dense.yaml,token_dense,policy_head_plus_last_shared,outputs/reproductions/teacher_extraction_baseline/minigrid_doorkey_flat_dense_ent1e3/latest.pt,configs/experiments/minigrid_doorkey_flat_dense_ent1e3.yaml,flat_dense,uniform
