active_compute_proxy,approx_kl,entropy,env_id,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,explained_variance,global_step,gpu_utilization,greedy,loss,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,policy_loss,rollout/action_entropy,rollout/action_greedy_match,rollout/action_logit_margin,rollout/action_max_prob,rollout/action_selected_prob,route_entropy,run_dir,step,temperature,throughput_fps,train/episode_length,train/episode_return,train/episodes_completed,train/success_rate,value_loss,variant,wall_clock_seconds
1.0,4.389486275613308e-05,0.045160140842199326,MiniGrid-DoorKey-5x5-v0,0.031626839914791795,1.0,6.67100340688833,0.9951150127250517,,,10.0,0.9942600373308975,0.9955036379042124,6.67100340688833,0.9951150127250517,10.03125,0.9638874866068363,1.0,,,,,0.7849434614181519,163840.0,35.75,True,-0.0010059983469545841,greedy,,,,,-0.0006840467685833573,0.04468763619661331,0.99072265625,6.519977569580078,0.9908704161643982,0.9829705953598022,0.0,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_flat_dense,80,1.0,9184.912109375,10.517241379310345,0.9621379081838823,203.0,1.0,0.0002592996461316943,flat_dense,17.837949752807617
1.0,4.389486275613308e-05,0.045160140842199326,MiniGrid-DoorKey-5x5-v0,0.031626839914791795,1.0,6.67100340688833,0.9951150127250517,,,10.0,0.9942600373308975,0.9955036379042124,6.67100340688833,0.9951150127250517,10.03125,0.9638874866068363,1.0,,,,,0.7849434614181519,163840.0,35.75,False,-0.0010059983469545841,sampled_t1.0,,,,,-0.0006840467685833573,0.04468763619661331,0.99072265625,6.519977569580078,0.9908704161643982,0.9829705953598022,0.0,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_flat_dense,80,1.0,9184.912109375,10.517241379310345,0.9621379081838823,203.0,1.0,0.0002592996461316943,flat_dense,17.837949752807617
1.0,4.389486275613308e-05,0.045160140842199326,MiniGrid-DoorKey-5x5-v0,0.004508465879404429,1.0,6.67100340688833,0.9992567565704336,,,10.0,0.998705201042004,0.9995074636288105,6.67100340688833,0.9992567565704336,10.03125,0.9638874866068363,1.0,,,,,0.7849434614181519,163840.0,35.75,False,-0.0010059983469545841,sampled_t0.7,,,,,-0.0006840467685833573,0.04468763619661331,0.99072265625,6.519977569580078,0.9908704161643982,0.9829705953598022,0.0,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_flat_dense,80,0.7,9184.912109375,10.517241379310345,0.9621379081838823,203.0,1.0,0.0002592996461316943,flat_dense,17.837949752807617
1.0,4.389486275613308e-05,0.045160140842199326,MiniGrid-DoorKey-5x5-v0,0.0008687799636213241,1.0,6.67100340688833,0.9998265419108168,,,10.0,0.9995395135421019,0.9999570093511418,6.67100340688833,0.9998265419108168,10.03125,0.9638874866068363,1.0,,,,,0.7849434614181519,163840.0,35.75,False,-0.0010059983469545841,sampled_t0.5,,,,,-0.0006840467685833573,0.04468763619661331,0.99072265625,6.519977569580078,0.9908704161643982,0.9829705953598022,0.0,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_flat_dense,80,0.5,9184.912109375,10.517241379310345,0.9621379081838823,203.0,1.0,0.0002592996461316943,flat_dense,17.837949752807617
0.5,0.0011856098426505923,1.2894810438156128,MiniGrid-DoorKey-5x5-v0,1.472181214630604,1.0,0.36908696208894254,0.3906474926769733,0.36908696208894254,0.3906474926769733,250.0,,0.3906474926769733,,,250.0,0.0,0.0,0.25382062792778015,0.24869370460510254,0.24691030383110046,0.25057533383369446,0.21334843337535858,163840.0,51.0,True,-0.011669626459479332,greedy,1.0,1.0,1.0,1.2772507667541504,-0.0009112692205235362,1.2875053882598877,0.48388671875,0.7362785339355469,0.4888211488723755,0.3714584708213806,1.3857862949371338,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_sare,80,1.0,6035.5849609375,98.53333333333333,0.6386133193969726,15.0,0.9333333333333333,0.004272907972335815,sare,27.145668029785156
0.5,0.0011856098426505923,1.2894810438156128,MiniGrid-DoorKey-5x5-v0,1.3380321192805265,0.463237574830052,0.640816888044416,0.4639009752514984,0.3634304932653904,0.3955002693459391,69.0,0.4576318054881705,0.46943259563090534,0.640816888044416,0.4639009752514984,78.625,0.7169500030577183,1.0,0.25382062792778015,0.24869370460510254,0.24691030383110046,0.25057533383369446,0.21334843337535858,163840.0,51.0,False,-0.011669626459479332,sampled_t1.0,1.0,1.0,1.0,1.2772507667541504,-0.0009112692205235362,1.2875053882598877,0.48388671875,0.7362785339355469,0.4888211488723755,0.3714584708213806,1.3857862949371338,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_sare,80,1.0,6035.5849609375,98.53333333333333,0.6386133193969726,15.0,0.9333333333333333,0.004272907972335815,sare,27.145668029785156
0.5,0.0011856098426505923,1.2894810438156128,MiniGrid-DoorKey-5x5-v0,1.1000642647325862,0.5652203348944875,0.619920018879377,0.5465222486406492,2.3742199211120605,0.9070660928487778,79.0,0.5634957165988586,0.533320662450931,0.5633296994525163,0.5348918020532902,86.375,0.6859250008128583,0.96875,0.25382062792778015,0.24869370460510254,0.24691030383110046,0.25057533383369446,0.21334843337535858,163840.0,51.0,False,-0.011669626459479332,sampled_t0.7,1.0,1.0,1.0,1.2772507667541504,-0.0009112692205235362,1.2875053882598877,0.48388671875,0.7362785339355469,0.4888211488723755,0.3714584708213806,1.3857862949371338,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_sare,80,0.7,6035.5849609375,98.53333333333333,0.6386133193969726,15.0,0.9333333333333333,0.004272907972335815,sare,27.145668029785156
0.5,0.0011856098426505923,1.2894810438156128,MiniGrid-DoorKey-5x5-v0,0.8854213555997642,0.6281366246616418,0.6130505362573887,0.6213846651260875,2.3747397403717043,0.9481318249702454,74.5,0.6278302024135518,0.6149391278386231,0.5562218522537011,0.6108444341633725,88.25,0.6791750015690923,0.96875,0.25382062792778015,0.24869370460510254,0.24691030383110046,0.25057533383369446,0.21334843337535858,163840.0,51.0,False,-0.011669626459479332,sampled_t0.5,1.0,1.0,1.0,1.2772507667541504,-0.0009112692205235362,1.2875053882598877,0.48388671875,0.7362785339355469,0.4888211488723755,0.3714584708213806,1.3857862949371338,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_sare,80,0.5,6035.5849609375,98.53333333333333,0.6386133193969726,15.0,0.9333333333333333,0.004272907972335815,sare,27.145668029785156
1.0,4.3485997593961656e-05,1.4726793766021729,MiniGrid-DoorKey-5x5-v0,1.6032687001824377,1.0,0.36985040611028674,0.35282611961290244,0.36985040611028674,0.35282611961290244,250.0,,0.35282611961290244,,,250.0,0.0,0.0,1.0,,,,0.05814526975154877,163840.0,48.0,True,-0.01230122335255146,greedy,1.0,1.0,1.0,0.0,-4.028368857689202e-05,1.4732635021209717,0.416015625,0.5236873626708984,0.4145300090312958,0.30389171838760376,0.0,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_single_expert,80,1.0,6841.04931640625,124.38888888888889,0.5355333222283257,18.0,0.8333333333333334,0.004931705072522163,single_expert,23.949541091918945
1.0,4.3485997593961656e-05,1.4726793766021729,MiniGrid-DoorKey-5x5-v0,1.50971291572155,0.41206137116086383,0.4347763666871245,0.3897471174650695,0.380202786937356,0.35914103186130525,93.5,0.4198790467412141,0.359615188188925,0.4347763666871245,0.3897471174650695,101.125,0.6359500037506223,1.0,1.0,,,,0.05814526975154877,163840.0,48.0,False,-0.01230122335255146,sampled_t1.0,1.0,1.0,1.0,0.0,-4.028368857689202e-05,1.4732635021209717,0.416015625,0.5236873626708984,0.4145300090312958,0.30389171838760376,0.0,outputs/diagnostics/policy_extraction/doorkey/minigrid_doorkey_single_expert,80,1.0,6841.04931640625,124.38888888888889,0.5355333222283257,18.0,0.8333333333333334,0.004931705072522163,single_expert,23.949541091918945
