all_ablation_preserve_rate,fixed_router_action_change_rate,group,lane,phase,route_dominant_pair_fraction,route_entropy,route_unique_pair_count,row_type,sample_count,sare_teacher_match_rate,seed,single_teacher_match_rate,step_count,teacher_match_gap,worst_ablation_action_change_rate
,,,fresh_final,search_key,,,,weak_single_gap,,1.0,53,1.0,,0.0,
,,weak,fresh_final,at_key,0.43682242990654213,1.3829251895441073,4.420560747663552,phase_summary,,1.0,59,1.0,107,,
,,,fresh_final,at_key,,,,weak_single_gap,,1.0,59,1.0,,0.0,
,,weak,fresh_final,at_locked_door,0.44375000000000014,1.3830103809013963,4.1640625,phase_summary,,1.0,59,1.0,128,,
,,,fresh_final,at_locked_door,,,,weak_single_gap,,1.0,59,1.0,,0.0,
,,weak,fresh_final,carry_key,0.438840579710145,1.3828658504762512,4.333333333333333,phase_summary,,1.0,59,1.0,69,,
,,,fresh_final,carry_key,,,,weak_single_gap,,1.0,59,1.0,,0.0,
,,weak,fresh_final,post_unlock,0.48005337781484586,1.3831277833569537,4.0,phase_summary,,0.042702251876563804,59,0.042702251876563804,5995,,
,,,fresh_final,post_unlock,,,,weak_single_gap,,0.042702251876563804,59,0.042702251876563804,,0.0,
,,weak,fresh_final,search_key,0.42577777777777787,1.38261382844713,4.866666666666666,phase_summary,,1.0,59,1.0,45,,
,,,fresh_final,search_key,,,,weak_single_gap,,1.0,59,1.0,,0.0,
,,strong,original,at_key,0.3592265193370165,1.384381536950064,5.292817679558011,phase_summary,,0.30939226519337015,7,1.0,362,,
,,strong,original,at_locked_door,0.35651685393258414,1.384504387217961,5.353932584269663,phase_summary,,1.0,7,1.0,178,,
,,strong,original,carry_key,0.3599999999999999,1.3846044041389642,5.767441860465116,phase_summary,,1.0,7,1.0,86,,
,,strong,original,post_unlock,0.30014134275618376,1.3843951200006708,5.777385159010601,phase_summary,,1.0,7,1.0,283,,
,,strong,original,search_key,0.36,1.3845375597476959,5.75,phase_summary,,1.0,7,1.0,40,,
,,strong,fresh,at_key,0.3348623853211009,1.380661711780303,4.0,phase_summary,,1.0,23,1.0,109,,
,,strong,fresh,at_locked_door,0.34406249999999994,1.3808616995811462,4.0,phase_summary,,1.0,23,1.0,128,,
,,strong,fresh,carry_key,0.3233898305084746,1.3806799852241904,4.0,phase_summary,,1.0,23,0.5087094220110847,59,,
,,strong,fresh,post_unlock,0.33552447552447545,1.379877011259119,4.0,phase_summary,,1.0,23,0.5132874679616889,286,,
,,strong,fresh,search_key,0.34651162790697676,1.3805749582689861,4.0,phase_summary,,1.0,23,1.0,43,,
0.0,0.6170212626457214,,fresh_final,search_key,,,,counterfactual_phase,47,,47,,,,0.8510637879371643
0.0,0.801980197429657,,fresh_final,at_key,,,,counterfactual_phase,101,,47,,,,0.8415841460227966
0.0,0.9305555820465088,,fresh_final,carry_key,,,,counterfactual_phase,72,,47,,,,1.0
0.0,0.6640625,,fresh_final,at_locked_door,,,,counterfactual_phase,128,,47,,,,0.8359375
0.0,0.5703125,,fresh_final,post_unlock,,,,counterfactual_phase,128,,47,,,,0.5703125
0.0,0.6216216087341309,,fresh_final,at_key,,,,counterfactual_phase,111,,53,,,,0.792792797088623
0.0,0.375,,fresh_final,at_locked_door,,,,counterfactual_phase,128,,53,,,,1.0
0.0,0.96875,,fresh_final,post_unlock,,,,counterfactual_phase,128,,53,,,,1.0
0.0,0.625,,fresh_final,search_key,,,,counterfactual_phase,48,,53,,,,1.0
0.0,0.6000000238418579,,fresh_final,carry_key,,,,counterfactual_phase,70,,53,,,,1.0
0.13084112107753754,0.17757008969783783,,fresh_final,at_key,,,,counterfactual_phase,107,,59,,,,0.8598130345344543
0.0,1.0,,fresh_final,at_locked_door,,,,counterfactual_phase,128,,59,,,,0.8359375
0.15625,0.2265625,,fresh_final,post_unlock,,,,counterfactual_phase,128,,59,,,,0.84375
0.5942029356956482,1.0,,fresh_final,carry_key,,,,counterfactual_phase,69,,59,,,,0.4057971239089966
0.7555555701255798,0.9111111164093018,,fresh_final,search_key,,,,counterfactual_phase,45,,59,,,,0.20000000298023224
0.15000000596046448,0.05000000074505806,,original,search_key,,,,counterfactual_phase,40,,7,,,,0.8500000238418579
0.203125,0.9375,,original,at_key,,,,counterfactual_phase,128,,7,,,,0.796875
0.1875,0.8125,,original,at_locked_door,,,,counterfactual_phase,128,,7,,,,0.8125
0.0,1.0,,original,post_unlock,,,,counterfactual_phase,128,,7,,,,0.9296875
0.0,1.0,,original,carry_key,,,,counterfactual_phase,86,,7,,,,1.0
0.28440365195274353,0.03669724613428116,,fresh,at_key,,,,counterfactual_phase,109,,23,,,,0.6972476840019226
0.171875,0.828125,,fresh,at_locked_door,,,,counterfactual_phase,128,,23,,,,0.828125
0.1328125,0.28125,,fresh,post_unlock,,,,counterfactual_phase,128,,23,,,,0.71875
0.25581395626068115,0.4883720874786377,,fresh,search_key,,,,counterfactual_phase,43,,23,,,,0.6279069781303406
0.0,1.0,,fresh,carry_key,,,,counterfactual_phase,59,,23,,,,1.0
