active_compute_proxy,approx_kl,ent_coef_current,entropy,env_id,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,explained_variance,global_step,gpu_utilization,greedy,loss,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,policy_loss,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,rollout/action_entropy,rollout/action_greedy_match,rollout/action_logit_margin,rollout/action_max_prob,rollout/action_selected_prob,route_entropy,run_dir,run_name,step,temperature,throughput_fps,train/episode_length,train/episode_return,train/episodes_completed,train/success_rate,value_loss,variant,wall_clock_seconds
0.5,0.00042319518979638815,0.0010000000474974513,1.1411707401275635,MiniGrid-DoorKey-5x5-v0,1.337785590108484,1.0,0.40664625899493695,0.41770274318754674,0.40664625899493695,0.41770274318754674,250.0,,0.41770274318754674,,,250.0,0.0,0.0,0.25566473603248596,0.2483406960964203,0.24796438217163086,0.2480301558971405,0.38549816608428955,163840.0,54.0,True,0.0010491777211427689,greedy,1.0,1.0,1.0,1.2103241682052612,-0.00023695272102486342,11.561259269714355,6.0301008224487305,0.7924177646636963,11.301618576049805,0.2966660261154175,1.1425076723098755,0.52587890625,0.8140869140625,0.527287483215332,0.4108598232269287,1.3854732513427734,outputs/reproductions/teacher_extraction_baseline/minigrid_doorkey_sare_ent1e3,minigrid_doorkey_sare_ent1e3,80,1.0,5742.9775390625,70.0,0.744296321162471,27.0,0.9629629629629629,0.004854602739214897,sare,28.52875518798828
0.5,0.00042319518979638815,0.0010000000474974513,1.1411707401275635,MiniGrid-DoorKey-5x5-v0,1.2060470413464461,0.5073611987655641,0.7309019173935023,0.4995334208436381,0.4441112633943558,0.4077353637292981,50.5,0.48974565107373663,0.5093211906135395,0.7309019173935023,0.4995334208436381,59.75,0.784900005441159,1.0,0.25566473603248596,0.2483406960964203,0.24796438217163086,0.2480301558971405,0.38549816608428955,163840.0,54.0,False,0.0010491777211427689,sampled_t1.0,1.0,1.0,1.0,1.2103241682052612,-0.00023695272102486342,11.561259269714355,6.0301008224487305,0.7924177646636963,11.301618576049805,0.2966660261154175,1.1425076723098755,0.52587890625,0.8140869140625,0.527287483215332,0.4108598232269287,1.3854732513427734,outputs/reproductions/teacher_extraction_baseline/minigrid_doorkey_sare_ent1e3,minigrid_doorkey_sare_ent1e3,80,1.0,5742.9775390625,70.0,0.744296321162471,27.0,0.9629629629629629,0.004854602739214897,sare,28.52875518798828
0.5,0.00042319518979638815,0.0010000000474974513,1.1411707401275635,MiniGrid-DoorKey-5x5-v0,1.0260034052879419,0.5718015426874408,0.7214916673149512,0.5748622126572359,1.870957555770874,0.868098958492279,40.5,0.5559842670798611,0.5937401582346108,0.7032461770220001,0.5702076611360449,53.109375,0.8072437490336597,0.984375,0.25566473603248596,0.2483406960964203,0.24796438217163086,0.2480301558971405,0.38549816608428955,163840.0,54.0,False,0.0010491777211427689,sampled_t0.7,1.0,1.0,1.0,1.2103241682052612,-0.00023695272102486342,11.561259269714355,6.0301008224487305,0.7924177646636963,11.301618576049805,0.2966660261154175,1.1425076723098755,0.52587890625,0.8140869140625,0.527287483215332,0.4108598232269287,1.3854732513427734,outputs/reproductions/teacher_extraction_baseline/minigrid_doorkey_sare_ent1e3,minigrid_doorkey_sare_ent1e3,80,0.7,5742.9775390625,70.0,0.744296321162471,27.0,0.9629629629629629,0.004854602739214897,sare,28.52875518798828
0.5,0.00042319518979638815,0.0010000000474974513,1.1411707401275635,MiniGrid-DoorKey-5x5-v0,0.8642851154731542,0.6533885559411392,0.6937009833843475,0.6518908249974711,0.4441112633943558,0.4077353637292981,47.5,0.6416465974357399,0.6621350525592022,0.6937009833843475,0.6518908249974711,53.265625,0.8082437505945563,1.0,0.25566473603248596,0.2483406960964203,0.24796438217163086,0.2480301558971405,0.38549816608428955,163840.0,54.0,False,0.0010491777211427689,sampled_t0.5,1.0,1.0,1.0,1.2103241682052612,-0.00023695272102486342,11.561259269714355,6.0301008224487305,0.7924177646636963,11.301618576049805,0.2966660261154175,1.1425076723098755,0.52587890625,0.8140869140625,0.527287483215332,0.4108598232269287,1.3854732513427734,outputs/reproductions/teacher_extraction_baseline/minigrid_doorkey_sare_ent1e3,minigrid_doorkey_sare_ent1e3,80,0.5,5742.9775390625,70.0,0.744296321162471,27.0,0.9629629629629629,0.004854602739214897,sare,28.52875518798828
,,,,MiniGrid-DoorKey-5x5-v0,0.02512437607864454,1.0,9.236747990477234,0.9920122934915663,8.898400730669497,0.9990643490552902,131.0,0.9990643490552902,0.9849602379278424,9.575095250284969,0.9849602379278424,129.890625,0.48239374347031116,0.5,,,,,,,,True,,greedy,,,,,,,,,,,,,,,,,outputs/experiments/teacher_extraction/learner_state/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,1.0,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.031027356969162,0.9869160839160839,9.19879978517901,0.990088076249965,8.89806169148854,0.9990518506595067,13.0,0.9990518506595067,0.9831162517092102,9.432707191382715,0.9831162517092102,115.140625,0.5417437423020601,0.5625,,,,,,,,False,,sampled_t1.0,,,,,,,,,,,,,,,,,outputs/experiments/teacher_extraction/learner_state/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,1.0,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.014775847201444783,0.9959334935897436,9.225950987210735,0.9959923794249368,8.898639898484754,0.9996597020856794,12.5,0.9994679677371796,0.9925167911126941,9.533425040256356,0.9925473187436331,126.21875,0.4971749931573868,0.515625,,,,,,,,False,,sampled_t0.7,,,,,,,,,,,,,,,,,outputs/experiments/teacher_extraction/learner_state/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,0.7,,,,,,,sare,
,,,,MiniGrid-DoorKey-5x5-v0,0.0067275006685570465,0.9984375,9.241802956688552,0.9985546363043462,8.898884666073709,0.9998827628781721,11.5,0.9998188944756985,0.9972903781329936,9.563938320599469,0.997307002250146,126.140625,0.4974562432616949,0.515625,,,,,,,,False,,sampled_t0.5,,,,,,,,,,,,,,,,,outputs/experiments/teacher_extraction/learner_state/flat_dense_to_sare_lss,flat_dense_to_sare_lss,,0.5,,,,,,,sare,
