block,final_greedy_success,label,lane,run_dir,seed,source
post_pass_a,0.0,kl_lss_single_expert,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_61/kl_lss_single_expert,61,new_fresh_blocks
post_pass_a,1.0,kl_lss_sare,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_61/kl_lss_sare,61,new_fresh_blocks
post_pass_a,1.0,kl_lss_token_dense,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_67/kl_lss_token_dense,67,new_fresh_blocks
post_pass_a,0.578125,kl_lss_single_expert,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_67/kl_lss_single_expert,67,new_fresh_blocks
post_pass_a,1.0,kl_lss_sare,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_67/kl_lss_sare,67,new_fresh_blocks
post_pass_a,0.953125,kl_lss_token_dense,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_token_dense,71,new_fresh_blocks
post_pass_a,0.625,kl_lss_single_expert,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_single_expert,71,new_fresh_blocks
post_pass_a,1.0,kl_lss_sare,post_pass_a,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_a/seed_71/kl_lss_sare,71,new_fresh_blocks
post_pass_b,1.0,kl_lss_token_dense,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_token_dense,73,new_fresh_blocks
post_pass_b,0.0,kl_lss_single_expert,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_single_expert,73,new_fresh_blocks
post_pass_b,1.0,kl_lss_sare,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_73/kl_lss_sare,73,new_fresh_blocks
post_pass_b,1.0,kl_lss_token_dense,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_token_dense,79,new_fresh_blocks
post_pass_b,0.0,kl_lss_single_expert,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_single_expert,79,new_fresh_blocks
post_pass_b,1.0,kl_lss_sare,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_79/kl_lss_sare,79,new_fresh_blocks
post_pass_b,1.0,kl_lss_token_dense,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_token_dense,83,new_fresh_blocks
post_pass_b,0.5625,kl_lss_single_expert,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_single_expert,83,new_fresh_blocks
post_pass_b,0.5625,kl_lss_sare,post_pass_b,outputs/experiments/lss_post_pass_campaign/stage1/post_pass_b/seed_83/kl_lss_sare,83,new_fresh_blocks
