active_compute_proxy,checkpoint_path,config_path,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,greedy,label,method,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,round_index,route_entropy,run_dir,seed,stage,temperature,variant
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/resolved_config.yaml,1.4569288741925612,0.5283523936170214,0.7697813805867224,0.5283307040884615,0.7680826431531754,0.5278630276180449,250.0,,0.5283307040884615,0.8768018389001806,0.557794321724709,247.5625,0.010337499901652336,0.015625,0.24586798572540283,0.24527452301979064,0.26322100292146206,0.2456364673152566,False,baseline_sare,baseline,sampled_t0.7,0.9999999909102917,0.9999999909102917,0.9999999909102917,0.2990398476943374,11.330891964435578,9.280498672485352,0.5436065277755261,11.390885387897491,0.6759386017322541,,1.3856870532035828,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3,23,baseline,0.7,sare
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/resolved_config.yaml,1.08007329274714,0.68525,0.7737611623220146,0.6874787520207465,0.7737611623220146,0.6874787520207465,250.0,,0.6874787520207465,,,250.0,0.0,0.0,0.24586301477998496,0.24529417702555656,0.2632054806947708,0.24563730570673942,False,baseline_sare,baseline,sampled_t0.5,0.9999999926686287,0.9999999926686287,0.9999999926686287,0.29705709556490184,11.331229936599732,9.269594766139985,0.5450040526986122,11.39075678396225,0.6741652925014496,,1.3856880284547806,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3,23,baseline,0.5,sare
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3/resolved_config.yaml,0.04092515680315262,1.0,6.717832520962872,0.9925795751089118,,,11.0,0.9896607103868896,0.9941085042490185,6.717832520962872,0.9925795751089118,10.75,0.9612999856472015,1.0,,,,,True,flat_dense,baseline,greedy,,,,,,3.8315389906422475,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3,29,baseline,1.0,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3/resolved_config.yaml,0.042110950942394906,0.9979300213675214,6.703002043322944,0.9922215332380677,,,11.0,0.9881293359795636,0.9945171560903993,6.703002043322944,0.9922215332380677,10.875,0.9608499854803085,1.0,,,,,False,flat_dense,baseline,sampled_t1.0,,,,,,3.8302667822156633,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3,29,baseline,1.0,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3/resolved_config.yaml,0.009008678075772051,0.9987980769230769,6.712502602742337,0.9979354030673443,,,11.0,0.996096863175681,0.9989667791041309,6.712502602742337,0.9979354030673443,10.78125,0.9611874856054783,1.0,,,,,False,flat_dense,baseline,sampled_t0.7,,,,,,3.8309809974070346,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3,29,baseline,0.7,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3/resolved_config.yaml,0.003124803256508751,0.9987980769230769,6.712502602742337,0.9991755799713067,,,11.0,0.998253342228286,0.9996929328515378,6.712502602742337,0.9991755799713067,10.78125,0.9611874856054783,1.0,,,,,False,flat_dense,baseline,sampled_t0.5,,,,,,3.8309809974070346,,,,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/flat_dense_ent1e3,29,baseline,0.5,flat_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3/resolved_config.yaml,1.5690613394491375,1.0,0.5195666021183133,0.3727724331393838,0.5195666021183133,0.3727724331393838,250.0,,0.3727724331393838,,,250.0,0.0,0.0,,,,,True,recovered_token_dense,baseline,greedy,,,,,11.351515975475312,11.079386339187622,0.19590054032951593,11.369767733097076,0.9584497376084328,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3,29,baseline,1.0,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3/resolved_config.yaml,1.5357960911914708,0.346375,0.3575792647562921,0.35076349191181366,0.3575792647562921,0.35076349191181366,250.0,,0.35076349191181366,,,250.0,0.0,0.0,,,,,False,recovered_token_dense,baseline,sampled_t1.0,,,,,11.339360697746276,11.074887322425843,0.1878545469790697,11.359610502243042,0.9620134482979774,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3,29,baseline,1.0,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3/resolved_config.yaml,1.3644618530366568,0.3991875,0.306355408012867,0.4010000635609031,0.306355408012867,0.4010000635609031,250.0,,0.4010000635609031,,,250.0,0.0,0.0,,,,,False,recovered_token_dense,baseline,sampled_t0.7,,,,,11.337951449871063,11.075773520469665,0.18654133048653604,11.358494132518768,0.962650004863739,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3,29,baseline,0.7,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3/resolved_config.yaml,1.1962346684020013,0.45918749999999997,0.29274366406723856,0.46027542947977784,0.29274366406723856,0.46027542947977784,250.0,,0.46027542947977784,,,250.0,0.0,0.0,,,,,False,recovered_token_dense,baseline,sampled_t0.5,,,,,11.337678777217866,11.078298625946045,0.18537303188443183,11.35832843875885,0.9631927141845227,,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_29/token_dense_ent1e3,29,baseline,0.5,token_dense
