active_compute_proxy,checkpoint_path,config_path,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,greedy,label,lane,method,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,route_entropy,run_dir,seed,stage,temperature,variant
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/resolved_config.yaml,1.7066140696406364,1.0,0.7606439171358943,0.3937118477188051,0.7606439171358943,0.3937118477188051,250.0,,0.3937118477188051,,,250.0,0.0,0.0,0.24587435834109783,0.24526265263557434,0.263237863779068,0.24562508799135685,True,baseline_sare,fresh,baseline,greedy,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.28087360225617886,11.33165156841278,9.298333287239075,0.5416595861315727,11.391061425209045,0.6781321689486504,1.3856862932443619,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3,23,fresh,1.0,sare
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3/resolved_config.yaml,1.7028641698360443,0.39699999999999996,0.7746307301931084,0.3967367326244712,0.7746307301931084,0.3967367326244712,250.0,,0.3967367326244712,,,250.0,0.0,0.0,0.24585520789027215,0.245301011800766,0.2632132634073496,0.24563049402087928,False,baseline_sare,fresh,baseline,sampled_t1.0,0.9999999905824661,0.9999999905824661,0.9999999905824661,0.29907427021861077,11.33080481004715,9.271862009525298,0.5442744323313237,11.390776368618011,0.6748142256736755,1.385687907397747,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/sare_ent1e3,23,fresh,1.0,sare
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/kl_lss_sare/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/kl_lss_sare/student_resolved_config.yaml,0.12201974231048524,1.0,5.320887420215124,0.9716761354508787,,,10.0,0.9634831908322397,0.9754002011866238,5.320887420215124,0.9716761354508787,9.984375,0.9640562366694212,1.0,0.24376080681880316,0.24888252271782785,0.22524543266211236,0.2821112179330417,True,kl_lss_sare,fresh,kl_lss_sare,greedy,0.9999999716168358,0.9999999716168358,0.9999999716168358,0.8016277487788882,11.456283501216344,0.9701390159981591,0.9692877772308531,11.301872650782267,-0.012656142768849219,1.3803662714504061,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/kl_lss_sare,23,fresh,1.0,sare
0.5,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/kl_lss_sare/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/kl_lss_sare/student_resolved_config.yaml,0.12907166666079642,0.9722163253413254,5.248523614440979,0.9697582257968627,,,10.0,0.9628278561238642,0.9742007704590413,5.248523614440979,0.9697582257968627,10.40625,0.9625374861061573,1.0,0.24380253066961793,0.24890738640023374,0.2252264315712041,0.2820636325183956,False,kl_lss_sare,fresh,kl_lss_sare,sampled_t1.0,0.9999999712253439,0.9999999712253439,0.9999999712253439,0.8027229452955311,11.456700544247681,0.9716828691548315,0.9692389519735315,11.301754787050445,-0.012657639120930228,1.3803719843941173,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/kl_lss_sare,23,fresh,1.0,sare
1.0,outputs/experiments/lss_multi_expert_hardening/fresh_single_expert_controls/seed_23/kl_lss_single_expert/latest.pt,outputs/experiments/lss_multi_expert_hardening/fresh_single_expert_controls/seed_23/kl_lss_single_expert/student_resolved_config.yaml,0.34196807070532725,1.0,3.936091887354851,0.8998190053344837,3.2327930716464395,0.8653276585779692,250.0,,0.8998190053344837,4.963990156467144,0.9502294352093895,151.90625,0.3937624953687191,0.40625,1.0,,,,True,kl_lss_single_expert,fresh,kl_lss_single_expert,greedy,1.0,1.0,1.0,0.0,11.543296651795576,0.8496740905803377,0.9993502866366352,11.445422595079156,-0.01603879503667494,0.0,outputs/experiments/lss_multi_expert_hardening/fresh_single_expert_controls/seed_23/kl_lss_single_expert,23,fresh,1.0,single_expert
1.0,outputs/experiments/lss_multi_expert_hardening/fresh_single_expert_controls/seed_23/kl_lss_single_expert/latest.pt,outputs/experiments/lss_multi_expert_hardening/fresh_single_expert_controls/seed_23/kl_lss_single_expert/student_resolved_config.yaml,0.24142725645198682,0.938878340611987,4.357485898836564,0.9313530631264779,4.351250201119317,0.9436305945979225,137.0,0.9395556754975886,0.9231504507553674,4.362036272846445,0.9223937834040725,132.25,0.4817124963738024,0.578125,1.0,,,,False,kl_lss_single_expert,fresh,kl_lss_single_expert,sampled_t1.0,1.0,1.0,1.0,0.0,11.51569638956723,1.1970241898965062,0.9960128174288266,11.454723444481775,-0.009472128336280456,0.0,outputs/experiments/lss_multi_expert_hardening/fresh_single_expert_controls/seed_23/kl_lss_single_expert,23,fresh,1.0,single_expert
1.0,outputs/experiments/lss_claim_consolidation/fresh_matched_controls/seed_23/kl_lss_token_dense/latest.pt,outputs/experiments/lss_claim_consolidation/fresh_matched_controls/seed_23/kl_lss_token_dense/student_resolved_config.yaml,0.3869673580299714,1.0,3.8238177606463433,0.9028301247470081,3.8238177606463433,0.9028301247470081,250.0,,0.9028301247470081,,,250.0,0.0,0.0,,,,,True,kl_lss_token_dense,fresh,kl_lss_token_dense,greedy,,,,,11.369240995883942,6.449490355014801,0.7786613416969776,11.383759296894073,0.3460867106989026,0.0,outputs/experiments/lss_claim_consolidation/fresh_matched_controls/seed_23/kl_lss_token_dense,23,fresh,1.0,token_dense
1.0,outputs/experiments/lss_claim_consolidation/fresh_matched_controls/seed_23/kl_lss_token_dense/latest.pt,outputs/experiments/lss_claim_consolidation/fresh_matched_controls/seed_23/kl_lss_token_dense/student_resolved_config.yaml,0.3510661445383888,0.9116813537143358,3.3902192223789274,0.9114923909108854,3.2481487301671224,0.9162051698607068,250.0,,0.9114923909108854,3.6811254683364316,0.9018424149660133,200.828125,0.20983125176280737,0.328125,,,,,False,kl_lss_token_dense,fresh,kl_lss_token_dense,sampled_t1.0,,,,,11.378076834427683,7.671457528231437,0.6907601358946304,11.374958965792294,0.4779330394247122,0.0,outputs/experiments/lss_claim_consolidation/fresh_matched_controls/seed_23/kl_lss_token_dense,23,fresh,1.0,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/resolved_config.yaml,1.4542783631682397,1.0,1.0605553944334387,0.5232222138140351,1.0605553944334387,0.5232222138140351,250.0,,0.5232222138140351,,,250.0,0.0,0.0,,,,,True,recovered_token_dense,fresh,baseline,greedy,,,,,11.322639866828919,10.793697350025177,0.22692618035525083,11.34715380859375,0.943649589151144,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3,23,fresh,1.0,token_dense
1.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/latest.pt,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3/resolved_config.yaml,1.2409240193963051,0.6003750000000001,1.4474439918547868,0.6060922764297576,1.4474439918547868,0.6060922764297576,250.0,,0.6060922764297576,,,250.0,0.0,0.0,,,,,False,recovered_token_dense,fresh,baseline,sampled_t1.0,,,,,11.330796696662903,10.8270512509346,0.23724166640639305,11.35423759508133,0.9369273188412189,0.0,outputs/experiments/lss_claim_hardening/additional_seeds/seed_23/token_dense_ent1e3,23,fresh,1.0,token_dense
