active_compute_proxy,checkpoint_path,config_path,detail,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_count,expert_load_0,expert_load_1,expert_load_2,expert_load_3,kind,lane,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,probe,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,route_entropy,route_global_top_pair_fraction,route_pair_dominant_mean,route_pair_unique_mean,run_dir,seed,top_k
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/resolved_config.yaml,-,0.15007156756025508,1.0,5.42612050961703,0.9726244981978088,5.42612050961703,0.9726244981978088,250.0,,0.9726244981978088,,,250.0,0.0,0.0,4.0,0.24120591589808463,0.2525593960434198,0.2008139396607876,0.3054207071810961,route_probe,fresh_final,0.9999999985694885,0.9999999985694885,0.9999999985694885,0.7682875588536262,baseline,11.384791644573212,1.0441482900083066,0.972621314227581,11.288880667209625,-0.011187359185190872,1.3626897102594375,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/resolved_config.yaml,0,1.5550079397074879,1.0,1.0368028873316943,0.450926363395527,1.0368028873316943,0.450926363395527,250.0,,0.450926363395527,,,250.0,0.0,0.0,4.0,0.2456414376348257,0.2595890258997679,0.2014774840027094,0.29329203052818775,route_probe,fresh_final,0.9999999478161335,0.9999999478161335,0.9999999478161335,0.7730866869986057,expert_ablation,11.410136073112488,4.312817407131195,0.9081538710296154,11.317725283145904,0.13224998942762614,1.3675942407250405,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/resolved_config.yaml,1,0.6289698045551777,1.0,2.8124459484070545,0.8539094139374792,2.8124459484070545,0.8539094139374792,250.0,,0.8539094139374792,,,250.0,0.0,0.0,4.0,0.2462244641855359,0.2598716347962618,0.20138293267041446,0.29252094085514546,route_probe,fresh_final,0.9999999441206455,0.9999999441206455,0.9999999441206455,0.7738718497157097,expert_ablation,11.334681418895721,6.67844592666626,0.7702148121893406,11.257509994506837,0.35108542592823505,1.368248543202877,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/resolved_config.yaml,2,0.8603842869444052,1.0,1.436816341072321,0.6163310060482472,1.436816341072321,0.6163310060482472,250.0,,0.6163310060482472,,,250.0,0.0,0.0,4.0,0.24262030953913927,0.2551650338023901,0.20109604392200708,0.30111859387159345,route_probe,fresh_final,0.9999999737739563,0.9999999737739563,0.9999999737739563,0.769890891700983,expert_ablation,11.393345156669616,1.1304126494228839,0.971649866759777,11.290753929138184,-0.008528608506021556,1.364081997036934,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/resolved_config.yaml,3,0.2499282111665234,1.0,3.099824437975884,0.919175571423024,3.099824437975884,0.919175571423024,250.0,,0.919175571423024,,,250.0,0.0,0.0,4.0,0.24622211421281098,0.25987078039348127,0.20138313573598862,0.2925239421874285,route_probe,fresh_final,0.9999999441206455,0.9999999441206455,0.9999999441206455,0.773873095959425,expert_ablation,11.404081066131592,4.894198756456375,0.8721469505429268,11.268759119510651,0.17955332554131748,1.3682453001737596,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/resolved_config.yaml,most_used_pair,1.7630016888305544,1.0,0.706788445264101,0.3421319953957572,0.706788445264101,0.3421319953957572,250.0,,0.3421319953957572,,,250.0,0.0,0.0,4.0,0.0,0.5,0.0,0.5,route_probe,fresh_final,1.0,1.0,1.0,0.0,router_override,11.353835551738738,4.5265814099311825,0.904729375064373,11.329322863578797,0.14935364212840796,0.6931474804878235,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare/resolved_config.yaml,uniform_topk_random,0.855995247171726,1.0,1.1547187897115947,0.6434153725765646,1.1547187897115947,0.6434153725765646,250.0,,0.6434153725765646,,,250.0,0.0,0.0,4.0,0.25006436846405267,0.2497243683412671,0.250215618558228,0.24999561853706836,route_probe,fresh_final,0.9999999880194664,0.9999999880194664,0.9999999880194664,1.382543038070202,route_randomization,11.363600995063782,4.664427262306213,0.8846723156869412,11.267500614643097,0.16174140302091836,0.6931474804878235,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/resolved_config.yaml,-,0.031022258571591965,1.0,7.098318647383611,0.9945579285675668,8.018962035640593,0.9988962191304853,12.0,0.9988962191304853,0.9904825647054312,6.2334718281119015,0.9904825647054312,125.859375,0.49846874363720417,0.515625,4.0,0.2455199213114321,0.24680630734866862,0.2161059914400057,0.29156776117755756,route_probe,fresh_final,0.9999999968180552,0.9999999968180552,0.9999999968180552,0.7305353076487524,baseline,11.523637056123427,1.7559850786389113,0.974949042381163,11.337283248101336,0.004386880780189334,1.3755975110514944,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare,53,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/resolved_config.yaml,0,0.9326789454333484,1.0,0.6705063301026821,0.6066139062792062,0.6705063301026821,0.6066139062792062,250.0,,0.6066139062792062,,,250.0,0.0,0.0,4.0,0.255246280759573,0.24949628798663617,0.21679296239465476,0.2784644335657358,route_probe,fresh_final,0.9999999999403953,0.9999999999403953,0.9999999999403953,0.6842368728220463,expert_ablation,11.447486537933349,6.836618588209152,0.7480243717432022,11.26100091123581,0.38941249147057533,1.379144057035446,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare,53,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/resolved_config.yaml,1,1.0377365327728914,1.0,0.6315061840377748,0.5726377186477183,0.6315061840377748,0.5726377186477183,250.0,,0.5726377186477183,,,250.0,0.0,0.0,4.0,0.2554796864688397,0.24944621669501066,0.21668091323971747,0.27839314460754394,route_probe,fresh_final,0.9999999778270722,0.9999999778270722,0.9999999778270722,0.7207280255854129,expert_ablation,11.455249543190002,2.5115192478895185,0.9619387780725956,11.325464710712433,0.03111365991551429,1.378790582716465,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare,53,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/resolved_config.yaml,2,0.3710971277799976,1.0,3.342783642209615,0.8149353434726861,0.7209140044489215,0.6357889302238342,12.0,0.6357889302238342,0.9832243983428202,5.8057520898029935,0.9832243983428202,125.859375,0.49846874363720417,0.515625,4.0,0.25575725167449936,0.24943432089711962,0.2166541412231238,0.27815426367595153,route_probe,fresh_final,0.9999999478388333,0.9999999478388333,0.9999999478388333,0.6917307312654472,expert_ablation,11.364500089414468,0.5573459894913964,0.9831031064287155,11.324978755700009,-0.018743765242113682,1.3786705292555352,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare,53,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/resolved_config.yaml,3,0.0010610757461799948,1.0,9.927020132362841,0.9999072974771261,9.927020132362841,0.9999072974771261,250.0,,0.9999072974771261,,,250.0,0.0,0.0,4.0,0.25493285144865513,0.24936575967818497,0.21659231900423764,0.2791090344786644,route_probe,fresh_final,0.9999999999701977,0.9999999999701977,0.9999999999701977,0.7110794815123082,expert_ablation,11.387970209121704,6.970120643615723,0.7601516404151917,11.324590463161469,0.3817270370870829,1.3788887684941291,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare,53,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/resolved_config.yaml,most_used_pair,0.6921090437099338,1.0,0.9250555876642466,0.695342949591577,0.9250555876642466,0.695342949591577,250.0,,0.695342949591577,,,250.0,0.0,0.0,4.0,0.0,0.5,0.0,0.5,route_probe,fresh_final,1.0,1.0,1.0,0.0,router_override,11.40237581729889,7.917779624462128,0.6543510481715202,11.253566265106201,0.5162358246743679,0.6931474804878235,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare,53,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare/resolved_config.yaml,uniform_topk_random,0.7728122155690799,1.0,1.483432579830289,0.7119434270542115,1.483432579830289,0.7119434270542115,250.0,,0.7119434270542115,,,250.0,0.0,0.0,4.0,0.25006436846405267,0.2497243683412671,0.250215618558228,0.24999561853706836,route_probe,fresh_final,0.9999999880194664,0.9999999880194664,0.9999999880194664,1.382543038070202,route_randomization,11.392620975017548,4.052839749455452,0.9070278058052063,11.294205706596374,0.1199296229891479,0.6931474804878235,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_53/kl_lss_sare,53,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/resolved_config.yaml,-,0.46813250595185074,1.0,4.223357025572232,0.8669137054094009,2.1436041168006694,0.7726074790761277,250.0,,0.8669137054094009,7.073388789444373,0.9961481637179607,148.140625,0.40888124518096447,0.421875,4.0,0.2689687044222527,0.25493207053050726,0.2298909812394915,0.2462082150447705,route_probe,fresh_final,0.9999999985052127,0.9999999985052127,0.9999999985052127,0.9250212462157665,baseline,11.418558641660924,0.7615579279332325,0.9544730512045768,11.25768687508323,-0.015163985452889158,1.3831336181552432,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare,59,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/resolved_config.yaml,0,1.6978147011771798,1.0,0.4553874734267592,0.35570470826327805,0.4553874734267592,0.35570470826327805,250.0,,0.35570470826327805,,,250.0,0.0,0.0,4.0,0.2689119780957699,0.25381283439695834,0.2304850183054805,0.2467901427447796,route_probe,fresh_final,0.9999999875426292,0.9999999875426292,0.9999999875426292,0.978351457029581,expert_ablation,11.43763759469986,6.567483671665192,0.7678362027704716,11.186854966163635,0.35088765366375446,1.3830775097608565,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare,59,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/resolved_config.yaml,1,0.27170403555069056,1.0,4.038966147609055,0.8958958521746099,4.038966147609055,0.8958958521746099,250.0,,0.8958958521746099,,,250.0,0.0,0.0,4.0,0.2685368385910988,0.2539780257791281,0.23050470743328333,0.24698040214180947,route_probe,fresh_final,0.9999999850392342,0.9999999850392342,0.9999999850392342,1.0062474856376649,expert_ablation,11.527446937561034,2.9707108159065245,0.9173650562465191,11.229953114509582,0.05303381686843932,1.3829762800335883,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare,59,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/resolved_config.yaml,2,0.4220173970452339,1.0,2.934998652555876,0.8709104455046148,2.045635303731058,0.8429942793051401,250.0,,0.8709104455046148,6.424039482560933,0.980427712902554,201.0,0.19671249762177467,0.203125,4.0,0.2685361879328695,0.2543716530626372,0.23023588842732992,0.24685624699283554,route_probe,fresh_final,0.999999944292191,0.999999944292191,0.999999944292191,1.0260865570402335,expert_ablation,11.463186718917422,0.8269941028442621,0.9543670026872427,11.255301714079023,-0.015032928232092997,1.3828615555375594,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare,59,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/resolved_config.yaml,3,0.7081245413204598,1.0,1.1692891176268458,0.6828898071125149,1.1692891176268458,0.6828898071125149,250.0,,0.6828898071125149,,,250.0,0.0,0.0,4.0,0.2687385908216238,0.2540704164654016,0.2302385608702898,0.24695240028202534,route_probe,fresh_final,0.9999999999105931,0.9999999999105931,0.9999999999105931,0.9794587680101394,expert_ablation,11.563728262901305,2.6802585073709486,0.9284413926005364,11.243192142963409,0.0406578981410712,1.3830994536280632,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare,59,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/resolved_config.yaml,most_used_pair,0.5272273162649944,1.0,2.423004506789148,0.8347222262453289,2.423004506789148,0.8347222262453289,250.0,,0.8347222262453289,,,250.0,0.0,0.0,4.0,0.5,0.5,0.0,0.0,route_probe,fresh_final,1.0,1.0,1.0,0.0,router_override,11.501941336154937,4.661402227640152,0.8924236186146736,11.332664124011993,0.16439378505200147,0.6931474804878235,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare,59,2.0
0.5,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/latest.pt,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare/resolved_config.yaml,uniform_topk_random,0.17023429775577098,1.0,4.3267874037362635,0.9573552828766405,4.3267874037362635,0.9573552828766405,250.0,,0.9573552828766405,,,250.0,0.0,0.0,4.0,0.25006436846405267,0.2497243683412671,0.250215618558228,0.24999561853706836,route_probe,fresh_final,0.9999999880194664,0.9999999880194664,0.9999999880194664,1.382543038070202,route_randomization,11.494324162006379,3.3451397479772567,0.9216431850790977,11.301072612285614,0.07475352064147592,0.6931474804878235,,,,outputs/experiments/lss_multi_expert_hardening/final_fresh_block/seed_59/kl_lss_sare,59,2.0
,,,,,,,,,,,,,,,,,,,,,,,route_pair_stats,,,,,,,,,,,,,0.7128125,0.7128125,3.828125,,47,
,,,,,,,,,,,,,,,,,,,,,,,route_pair_stats,,,,,,,,,,,,,0.585205078125,0.585205078125,4.0,,53,
,,,,,,,,,,,,,,,,,,,,,,,route_pair_stats,,,,,,,,,,,,,0.4547900390625,0.4547900390625,4.2919921875,,59,
