best_round_disagreement,best_round_greedy_success,best_round_index,best_round_path_entropy,best_round_post_unlock_frac,best_round_route_entropy,candidate,checkpoint_path,config_path,delta_vs_round6,delta_vs_single_expert,delta_vs_token_dense,final_greedy_success,final_round_active_compute,final_round_aggregate_steps,final_round_disagreement,final_round_fine_tune_steps,final_round_path_entropy,final_round_post_unlock_frac,final_round_route_entropy,label,lane,run_dir,seed
0.9204627621113521,1.0,4,0.8248919039964676,0.9513135695348277,1.380743933165515,carry3_post5,outputs/experiments/lss_successor_migration/stage1_screening/carry3_post5/prospective_h/seed_271/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/carry3_post5/prospective_h/seed_271/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.0,1.0,0.5,56298.0,0.9204627621113521,1760.0,0.8248919039964676,0.9513135695348277,1.380743933165515,kl_lss_sare,prospective_h,outputs/experiments/lss_successor_migration/stage1_screening/carry3_post5/prospective_h/seed_271/kl_lss_sare,271
0.9106628242074928,1.0,4,0.511918684586255,0.9452449567723343,1.3792965734390275,carry3_post5,outputs/experiments/lss_successor_migration/stage1_screening/carry3_post5/prospective_h/seed_277/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/carry3_post5/prospective_h/seed_277/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.0,1.0,0.5,54940.0,0.9106628242074928,1720.0,0.511918684586255,0.9452449567723343,1.3792965734390275,kl_lss_sare,prospective_h,outputs/experiments/lss_successor_migration/stage1_screening/carry3_post5/prospective_h/seed_277/kl_lss_sare,277
0.906,0.0,1,0.2596541134566069,0.0,1.3845976439118386,disagree050,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_251/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_251/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.0,0.0,0.5,64000.0,0.094,2000.0,0.4994097200930119,0.0,1.380056356549263,kl_lss_sare,prospective_g,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_251/kl_lss_sare,251
0.4133125,0.578125,4,1.2192732459902764,0.81225,1.3650999373793602,disagree050,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_257/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_257/kl_lss_sare/student_resolved_config.yaml,-0.421875,-0.421875,-0.421875,0.578125,0.5,64000.0,0.4133125,2000.0,1.2192732459902764,0.81225,1.3650999373793602,kl_lss_sare,prospective_g,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_257/kl_lss_sare,257
1.0,0.0,1,0.5493776574730873,0.0,1.3836414068937302,disagree050,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_263/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_263/kl_lss_sare/student_resolved_config.yaml,-1.0,-1.0,-1.0,0.0,0.5,64000.0,0.514125,2000.0,0.8165013033747673,0.932625,1.3781926522850991,kl_lss_sare,prospective_g,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_g/seed_263/kl_lss_sare,263
0.967625,0.625,4,0.9385211640298367,0.9775625,1.3715135999321937,disagree050,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_269/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_269/kl_lss_sare/student_resolved_config.yaml,-0.359375,-0.375,-0.375,0.625,0.5,64000.0,0.967625,2000.0,0.9385211640298367,0.9775625,1.3715135999321937,kl_lss_sare,prospective_h,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_269/kl_lss_sare,269
0.9204627621113521,1.0,4,0.8330400174966565,0.9513135695348277,1.3821838320405395,disagree050,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_271/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_271/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.0,1.0,0.5,48596.0,0.9204627621113521,1520.0,0.8330400174966565,0.9513135695348277,1.3821838320405395,kl_lss_sare,prospective_h,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_271/kl_lss_sare,271
0.9991875,0.0,1,0.1673561532944441,0.0,1.385562038898468,disagree050,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_277/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_277/kl_lss_sare/student_resolved_config.yaml,-1.0,-1.0,-1.0,0.0,0.5,64000.0,0.4728125,2000.0,0.5030744970589877,0.9771875,1.380365977525711,kl_lss_sare,prospective_h,outputs/experiments/lss_successor_migration/stage1_screening/disagree050/prospective_h/seed_277/kl_lss_sare,277
0.906,0.0,1,0.2596541134566069,0.0,1.3845976439118386,disagree100,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_251/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_251/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.0,0.0,0.5,64000.0,0.094,2000.0,0.5036924179345369,0.0,1.3801525146365166,kl_lss_sare,prospective_g,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_251/kl_lss_sare,251
0.9485625,1.0,4,1.0896421054005623,0.8275625,1.3604260643720627,disagree100,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_257/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_257/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.0,1.0,0.5,64000.0,0.9485625,2000.0,1.0896421054005623,0.8275625,1.3604260643720627,kl_lss_sare,prospective_g,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_257/kl_lss_sare,257
0.498125,1.0,4,0.7141745291054249,0.7813125,1.3781569433808327,disagree100,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_263/kl_lss_sare/latest.pt,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_263/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,0.0,1.0,0.5,64000.0,0.498125,2000.0,0.7141745291054249,0.7813125,1.3781569433808327,kl_lss_sare,prospective_g,outputs/experiments/lss_successor_migration/stage1_screening/disagree100/prospective_g/seed_263/kl_lss_sare,263
