active_compute_proxy,aggregation,checkpoint_path,config_path,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_load_0,expert_load_1,expert_load_2,expert_load_3,greedy,label,loss,max_dataset_steps,method,mode,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,round_index,route_entropy,run_dir,seed,stage,target,temperature,variant,weighting
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss/student_resolved_config.yaml,0.060145965748388416,1.0,7.054874909368396,0.9861109986559312,,,9.0,0.9844738619092882,0.9874674833888641,7.054874909368396,0.9861109986559312,9.71875,0.9650124870240688,1.0,0.27084477263760853,0.2434024756931397,0.2383003486208169,0.2474523784525423,True,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,greedy,0.999999991382461,0.999999991382461,0.999999991382461,1.2841570951852455,11.434879314468567,0.9689670643174505,0.9618090326527515,11.32062099640628,-0.011092294903797468,,1.3384311184825668,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss,11,lss_robustness_baseline,policy_head_plus_last_shared,1.0,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss/student_resolved_config.yaml,0.06278669541225991,0.9900161687271063,7.005211877143555,0.9850886199082801,,,9.0,0.9823676874048951,0.9874894427053846,7.005211877143555,0.9850886199082801,9.953125,0.9641687367111444,1.0,0.27083879924682247,0.24340334911662412,0.2382998190012323,0.24745800498738346,False,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,sampled_t1.0,0.9999999935368458,0.9999999935368458,0.9999999935368458,1.2836512025580349,11.43469713969403,0.9687183901488062,0.9618142599082855,11.320553825562259,-0.011095840022450381,,1.3383790484393936,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss,11,lss_robustness_baseline,policy_head_plus_last_shared,1.0,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss/student_resolved_config.yaml,0.019799635893065284,1.0,7.054874909368396,0.9955807617096895,,,9.0,0.9942881277808969,0.9966518012506892,7.054874909368396,0.9955807617096895,9.71875,0.9650124870240688,1.0,0.27084477263760853,0.2434024756931397,0.2383003486208169,0.2474523784525423,False,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,sampled_t0.7,0.999999991382461,0.999999991382461,0.999999991382461,1.2841570951852455,11.434879314468567,0.9689670643174505,0.9618090326527515,11.32062099640628,-0.011092294903797468,,1.3384311184825668,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss,11,lss_robustness_baseline,policy_head_plus_last_shared,0.7,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss/student_resolved_config.yaml,0.006261542644255739,1.0,7.054874909368396,0.9984399785428271,,,9.0,0.9973420435523311,0.9993496961063808,7.054874909368396,0.9984399785428271,9.71875,0.9650124870240688,1.0,0.27084477263760853,0.2434024756931397,0.2383003486208169,0.2474523784525423,False,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,sampled_t0.5,0.999999991382461,0.999999991382461,0.999999991382461,1.2841570951852455,11.434879314468567,0.9689670643174505,0.9618090326527515,11.32062099640628,-0.011092294903797468,,1.3384311184825668,outputs/reproductions/lss_robustness_baseline/seed_11/flat_dense_to_sare_lss,11,lss_robustness_baseline,policy_head_plus_last_shared,0.5,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss/student_resolved_config.yaml,0.1984412762029331,1.0,4.850645045757293,0.9369240004085004,4.850645045757293,0.9369240004085004,250.0,,0.9369240004085004,,,250.0,0.0,0.0,0.2488356233611703,0.263565472394228,0.24881682718545198,0.23878204742074013,True,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,greedy,0.9999999926388263,0.9999999926388263,0.9999999926388263,1.1745693278908729,11.406537878990173,0.47783223596215246,0.9751882485449314,11.305483313560487,-0.019205029326025396,,1.3829953578710557,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss,19,lss_robustness_baseline,policy_head_plus_last_shared,1.0,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss/student_resolved_config.yaml,0.011968569009846546,0.9974375000000001,9.531768049284816,0.9969933667071164,9.531768049284816,0.9969933667071164,250.0,,0.9969933667071164,,,250.0,0.0,0.0,0.24492752631753684,0.26648518538475036,0.2450345901325345,0.2435526800453663,False,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,sampled_t1.0,0.999999999076128,0.999999999076128,0.999999999076128,1.1793676010370255,11.515212767124176,0.962896270185709,0.9708909430503845,11.333701604366302,-0.010938512054970487,,1.3820629506707192,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss,19,lss_robustness_baseline,policy_head_plus_last_shared,1.0,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss/student_resolved_config.yaml,0.009493374953506616,0.9978125,9.276144358381629,0.9975888264924289,9.276144358381629,0.9975888264924289,250.0,,0.9975888264924289,,,250.0,0.0,0.0,0.24521308774501085,0.26626930649578573,0.24530910420417787,0.24320848177373408,False,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,sampled_t0.7,0.9999999988377094,0.9999999988377094,0.9999999988377094,1.1811855739355088,11.50989029788971,0.9258577828705311,0.97119808781147,11.33148510503769,-0.01157066403143108,,1.382127897143364,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss,19,lss_robustness_baseline,policy_head_plus_last_shared,0.7,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss/student_resolved_config.yaml,0.01349201255093085,0.998,8.300591307878493,0.9972980167344212,8.300591307878493,0.9972980167344212,250.0,,0.9972980167344212,,,250.0,0.0,0.0,0.24601522894203662,0.26567079254984854,0.2460852273479104,0.24222873286157848,False,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,sampled_t0.5,0.9999999983310699,0.9999999983310699,0.9999999983310699,1.1802433993816375,11.487074021339417,0.8269248200654984,0.9720796021819115,11.325728444099425,-0.013257357486523689,,1.3823198828697205,outputs/reproductions/lss_robustness_baseline/seed_19/flat_dense_to_sare_lss,19,lss_robustness_baseline,policy_head_plus_last_shared,0.5,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_7/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_7/flat_dense_to_sare_lss/student_resolved_config.yaml,0.02512437607864454,1.0,9.236747990477234,0.9920122934915663,8.898400730669497,0.9990643490552902,131.0,0.9990643490552902,0.9849602379278424,9.575095250284969,0.9849602379278424,129.890625,0.48239374347031116,0.5,0.2498765316417084,0.25784962039055026,0.24883619043719976,0.24343763014573117,True,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,greedy,0.9999999969405499,0.9999999969405499,0.9999999969405499,1.2926307086219053,11.6362558927807,1.3900711903541487,0.9646900389087408,11.312310018635582,-0.0032804461571026857,,1.3820888392975526,outputs/reproductions/lss_robustness_baseline/seed_7/flat_dense_to_sare_lss,7,lss_robustness_baseline,policy_head_plus_last_shared,1.0,sare,uniform
0.5,append_all,outputs/reproductions/lss_robustness_baseline/seed_7/flat_dense_to_sare_lss/latest.pt,outputs/reproductions/lss_robustness_baseline/seed_7/flat_dense_to_sare_lss/student_resolved_config.yaml,0.031027356969162,0.9869160839160839,9.19879978517901,0.990088076249965,8.89806169148854,0.9990518506595067,13.0,0.9990518506595067,0.9831162517092102,9.432707191382715,0.9831162517092102,115.140625,0.5417437423020601,0.5625,0.24988017078467448,0.25782098913676965,0.24884603535702426,0.24345277689354103,False,flat_dense_to_sare_lss,ce,,flat_dense_to_sare_lss,sampled_t1.0,0.9999999963107377,0.9999999963107377,0.9999999963107377,1.2927692993697162,11.63598800397242,1.3878880798009654,0.9646987768621463,11.312108393102827,-0.003324986993568468,,1.3820945258527937,outputs/reproductions/lss_robustness_baseline/seed_7/flat_dense_to_sare_lss,7,lss_robustness_baseline,policy_head_plus_last_shared,1.0,sare,uniform
