best_round_disagreement,best_round_greedy_success,best_round_index,best_round_post_unlock_frac,best_round_unique_ratio,candidate,checkpoint_path,config_path,current_candidate_greedy_success,current_single_expert_greedy_success,current_token_dense_greedy_success,delta_vs_current_candidate,delta_vs_current_single_expert,delta_vs_current_token_dense,final_greedy_success,final_round_active_compute,final_round_added_steps,final_round_aggregate_steps,final_round_disagreement,final_round_fine_tune_steps,final_round_path_entropy,final_round_post_unlock_frac,final_round_route_entropy,final_round_unique_ratio,label,lane,run_dir,seed
0.9960625,0.0,1,0.0,0.0020625,cap_balanced_6144,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_b/seed_79/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_b/seed_79/kl_lss_sare/student_resolved_config.yaml,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.5,16000.0,6144.0,0.892,192.0,1.1946840971708297,0.0,1.3838295024037361,0.003,kl_lss_sare,post_pass_b,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_b/seed_79/kl_lss_sare,79
1.0,0.0,1,0.0,0.0019375,cap_balanced_6144,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_b/seed_83/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_b/seed_83/kl_lss_sare/student_resolved_config.yaml,0.5625,0.5625,1.0,-0.5625,-0.5625,-1.0,0.0,0.5,16000.0,6144.0,0.99775,192.0,0.9810358590483665,0.0,1.380972304582596,0.002,kl_lss_sare,post_pass_b,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_b/seed_83/kl_lss_sare,83
0.8113125,0.0,1,0.0,0.00225,cap_balanced_6144,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_89/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_89/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.5,16000.0,6144.0,0.9073125,192.0,1.1777937713265418,0.092375,1.384826704978943,0.0029375,kl_lss_sare,post_pass_c,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_89/kl_lss_sare,89
0.6486875,0.265625,4,0.534375,0.003375,cap_balanced_6144,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_97/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_97/kl_lss_sare/student_resolved_config.yaml,0.0,0.0,1.0,0.265625,0.265625,-0.734375,0.265625,0.5,16000.0,6144.0,0.6486875,192.0,0.95223432675004,0.534375,1.3850272011160851,0.003375,kl_lss_sare,post_pass_c,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_97/kl_lss_sare,97
0.998,0.0,1,0.0,0.0018125,cap_balanced_6144,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_101/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_101/kl_lss_sare/student_resolved_config.yaml,1.0,0.671875,0.671875,-1.0,-0.671875,-0.671875,0.0,0.5,16000.0,6144.0,0.5485,192.0,1.0177085012197495,0.13625,1.381651569366455,0.0030625,kl_lss_sare,post_pass_c,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_c/seed_101/kl_lss_sare,101
0.99625,0.0,1,0.0,0.002125,cap_balanced_6144,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_137/kl_lss_sare/student_resolved_config.yaml,1.0,0.578125,1.0,-1.0,-0.578125,-1.0,0.0,0.5,16000.0,6144.0,0.89375,192.0,1.0280746876597404,0.0,1.3837395424842835,0.0024375,kl_lss_sare,post_pass_f,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_137/kl_lss_sare,137
0.9991875,0.0,1,0.0,0.0019375,cap_balanced_6144,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_139/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_139/kl_lss_sare/student_resolved_config.yaml,0.5,0.5625,1.0,-0.5,-0.5625,-1.0,0.0,0.5,16000.0,6144.0,0.9475625,192.0,1.3613266348838806,0.0614375,1.3796338583230972,0.0028125,kl_lss_sare,post_pass_f,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_139/kl_lss_sare,139
1.0,0.0,1,0.0,0.0016875,cap_balanced_6144,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_149/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_149/kl_lss_sare/student_resolved_config.yaml,0.0,0.59375,1.0,0.0,-0.59375,-1.0,0.0,0.5,16000.0,6144.0,0.9946875,192.0,1.0785388195514678,0.0765,1.3836629285812378,0.0025625,kl_lss_sare,post_pass_f,outputs/experiments/lss_hard_family_saturation/stage1_screening/cap_balanced_6144/post_pass_f/seed_149/kl_lss_sare,149
0.7274113082039911,1.0,3,0.041019955654102,0.007206208425720621,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_73/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_73/kl_lss_sare/student_resolved_config.yaml,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,644.0,39860.0,0.0,1248.0,0.7556280640994801,0.453416149068323,1.3783657158122342,0.08385093167701864,kl_lss_sare,post_pass_b,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_73/kl_lss_sare,73
0.7042521994134897,1.0,3,0.022287390029325515,0.007478005865102639,carry2_post4,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_79/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_79/kl_lss_sare/student_resolved_config.yaml,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,640.0,39460.0,0.0,1236.0,1.3016199649098408,0.45,1.3624275692974228,0.0875,kl_lss_sare,post_pass_b,outputs/experiments/lss_hard_family_saturation/stage1_screening/carry2_post4/post_pass_b/seed_79/kl_lss_sare,79
