active_compute_proxy,checkpoint_path,config_path,detail,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_count,expert_load_0,expert_load_1,expert_load_2,expert_load_3,lane,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,probe,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,route_entropy,run_dir,seed,top_k
0.5,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/resolved_config.yaml,-,0.039176114955425265,1.0,6.431029134082645,0.9938140862993807,,,9.0,0.9943617727861963,0.9933308335168969,6.431029134082645,0.9938140862993807,9.625,0.9653499871492386,1.0,4.0,0.23833860015427624,0.24484040321391307,0.24964216222733626,0.2671788114088553,post_pass_f,0.9999999919055421,0.9999999919055421,0.9999999919055421,1.0532458947028642,baseline,11.386831048094196,0.7858120269245572,0.9703215596116619,11.324074580345625,-0.015783966714401305,1.382325009063438,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare,137,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/resolved_config.yaml,0,0.5429695929212277,1.0,2.83201998291524,0.8125746421830287,2.7828313835220677,0.8072968325934239,250.0,,0.8125746421830287,3.1763401786674454,0.8495193093102613,219.921875,0.12078124843537807,0.125,4.0,0.23934499283887076,0.24624010132570517,0.24953926154326433,0.26487562291911354,post_pass_f,0.9999999944360114,0.9999999944360114,0.9999999944360114,1.0920148143027333,expert_ablation,11.374647882012697,0.7839943263835918,0.9675637178077185,11.310759281565717,-0.01615693186794482,1.3826932548610373,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare,137,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/resolved_config.yaml,1,0.9531826083790511,1.0,0.8762270077690483,0.627266145311296,0.8762270077690483,0.627266145311296,250.0,,0.627266145311296,,,250.0,0.0,0.0,4.0,0.23931802489608525,0.24609941922873257,0.24948982175439596,0.2650927080363035,post_pass_f,0.9999999999701977,0.9999999999701977,0.9999999999701977,1.0868202450871467,expert_ablation,11.439817440032959,2.8341029222011564,0.9428243308365345,11.301075565814973,0.04888749702274799,1.3828979126214982,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare,137,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/resolved_config.yaml,2,0.6119812999777496,1.0,2.913008498929441,0.8568074115552008,2.913008498929441,0.8568074115552008,250.0,,0.8568074115552008,,,250.0,0.0,0.0,4.0,0.23920941934734583,0.2461168663725257,0.24957962415367366,0.265094059407711,post_pass_f,0.9999999981224537,0.9999999981224537,0.9999999981224537,1.0992827051281928,expert_ablation,11.365729743003845,4.192963015794754,0.890389204621315,11.24894811153412,0.12746131631359459,1.3825933503508567,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare,137,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/resolved_config.yaml,3,1.281739891920239,1.0,0.9225230430178344,0.5446257786788046,0.9225230430178344,0.5446257786788046,250.0,,0.5446257786788046,,,250.0,0.0,0.0,4.0,0.23906367102265358,0.2453889955058694,0.24926722235232593,0.2662801071703434,post_pass_f,0.9999999814927578,0.9999999814927578,0.9999999814927578,1.069886251449585,expert_ablation,11.449942445755005,3.2695241800546646,0.9322141215205193,11.320175075531006,0.07290642879903317,1.3827693718671799,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare,137,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/resolved_config.yaml,most_used_pair,1.3991045936495068,1.0,0.48318536671996115,0.4365742718465626,0.48318536671996115,0.4365742718465626,250.0,,0.4365742718465626,,,250.0,0.0,0.0,4.0,0.0,0.0,0.5,0.5,post_pass_f,1.0,1.0,1.0,0.0,router_override,11.381147180080413,5.07811029624939,0.8714418243169785,11.36490625858307,0.19838205870985984,0.6931474804878235,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare,137,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare/resolved_config.yaml,uniform_topk_random,0.6670865137109818,1.0,2.7715302352403715,0.792602064335208,2.7734017127823263,0.7929405903617541,250.0,,0.792602064335208,2.653627150097201,0.7712749246628053,248.515625,0.006906250026077032,0.015625,4.0,0.25006436846405267,0.2497243683412671,0.250215618558228,0.24999561853706836,post_pass_f,0.9999999880194664,0.9999999880194664,0.9999999880194664,1.382543038070202,route_randomization,11.397400916099548,2.6763311610221865,0.9508709581494331,11.307363030433654,0.04129055895283818,0.6931474804878235,outputs/experiments/lss_hard_family_saturation/stage2_fairness/round6/post_pass_f/seed_137/kl_lss_sare,137,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare/resolved_config.yaml,-,0.058498834043322456,1.0,6.31630448381496,0.9846623117738984,,,10.0,0.9727034857392176,0.9928446664292064,6.31630448381496,0.9846623117738984,10.296875,0.9629312362521887,1.0,4.0,0.2406283440284951,0.25525017203979716,0.20043979481209157,0.30368165949056314,fresh_final,0.9999999812869138,0.9999999812869138,0.9999999812869138,0.7698631556921227,baseline,11.469409144201943,1.1481160424476446,0.9741824886133504,11.288927044979362,-0.008773510823524448,1.3617419739102208,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare/resolved_config.yaml,0,0.4619727821205743,1.0,3.635056179337204,0.8794469022713602,3.635056179337204,0.8794469022713602,250.0,,0.8794469022713602,,,250.0,0.0,0.0,4.0,0.24329418071359396,0.2585653234124184,0.20079755913466216,0.29734290416538717,fresh_final,0.9999999664723873,0.9999999664723873,0.9999999664723873,0.7713592664003373,expert_ablation,11.448519413471223,4.084339900135994,0.918398639768362,11.34040662908554,0.11609123683720828,1.365481000483036,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare,47,2.0
0.5,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare/latest.pt,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare/resolved_config.yaml,1,0.43302470418531447,1.0,3.0607722717821595,0.9038628865964711,3.0607722717821595,0.9038628865964711,250.0,,0.9038628865964711,,,250.0,0.0,0.0,4.0,0.24329677780717612,0.25856643666327,0.2007974232584238,0.29733932968974114,fresh_final,0.999999966442585,0.999999966442585,0.999999966442585,0.7713580440878868,expert_ablation,11.35474627828598,6.853214419841766,0.758997170329094,11.255127871513366,0.3690069994330406,1.3654847791194915,outputs/experiments/lss_hard_family_saturation/stage3_holdout/round6/fresh_final/seed_47/kl_lss_sare,47,2.0
