best_round_disagreement,best_round_greedy_success,best_round_index,best_round_path_entropy,best_round_post_unlock_frac,best_round_route_entropy,candidate,checkpoint_path,config_path,final_greedy_success,final_round_active_compute,final_round_aggregate_steps,final_round_disagreement,final_round_fine_tune_steps,final_round_path_entropy,final_round_post_unlock_frac,final_round_route_entropy,label,lane,line,run_dir,seed
0.9979166666666667,0.0,1,1.2576616751926917,0.0,1.3860040482547549,round6,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_11/kl_lss_sare/latest.pt,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_11/kl_lss_sare/student_resolved_config.yaml,0.0,0.5,103680.0,0.49039351851851853,3240.0,1.1348626749934974,0.0,1.3751752467619047,kl_lss_sare,keycorridor,,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_11/kl_lss_sare,11
1.0,0.0,1,0.0,0.0,0.0,round6,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_11/kl_lss_token_dense/latest.pt,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_11/kl_lss_token_dense/student_resolved_config.yaml,0.0,1.0,103680.0,0.49039351851851853,3240.0,0.0,0.0,0.0,kl_lss_token_dense,keycorridor,,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_11/kl_lss_token_dense,11
0.828125,0.0,1,0.23231822531670332,0.0,1.3832500874996185,round6,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_19/kl_lss_sare/latest.pt,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_19/kl_lss_sare/student_resolved_config.yaml,0.0,0.5,103680.0,0.9642361111111111,3240.0,0.6324060762094127,0.9679398148148148,1.379726184187112,kl_lss_sare,keycorridor,,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_19/kl_lss_sare,19
0.9952546296296296,0.0,1,0.0,0.0,0.0,round6,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_19/kl_lss_token_dense/latest.pt,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_19/kl_lss_token_dense/student_resolved_config.yaml,0.0,1.0,103680.0,0.4299189814814815,3240.0,0.0,0.6850694444444444,0.0,kl_lss_token_dense,keycorridor,,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_19/kl_lss_token_dense,19
0.8359375,0.0,1,0.3083486929535866,0.0,1.376935750246048,round6,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_7/kl_lss_sare/latest.pt,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_7/kl_lss_sare/student_resolved_config.yaml,0.0,0.5,103680.0,0.9678240740740741,3240.0,0.09939541309658025,0.9715277777777778,1.297429061156732,kl_lss_sare,keycorridor,,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_7/kl_lss_sare,7
0.9986689814814815,0.0,1,0.0,0.0,0.0,round6,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_7/kl_lss_token_dense/latest.pt,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_7/kl_lss_token_dense/student_resolved_config.yaml,0.0,1.0,103680.0,0.24560185185185185,3240.0,0.0,0.0,0.0,kl_lss_token_dense,keycorridor,,outputs/experiments/lss_portfolio_campaign/stage8_exploratory/round6/keycorridor/seed_7/kl_lss_token_dense,7
,,,,,,historical,,,1.0,,,,,,,,flat_dense,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_11/flat_dense_ent1e3,11
,,,,,,historical,,,0.0,,,,,,,,recovered_token_dense,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_11/token_dense_ent1e3,11
,,,,,,historical,,,0.0,,,,,,,,baseline_sare,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_11/sare_ent1e3,11
,,,,,,historical,,,1.0,,,,,,,,flat_dense,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_19/flat_dense_ent1e3,19
,,,,,,historical,,,0.0,,,,,,,,recovered_token_dense,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_19/token_dense_ent1e3,19
,,,,,,historical,,,0.0,,,,,,,,baseline_sare,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_19/sare_ent1e3,19
,,,,,,historical,,,1.0,,,,,,,,flat_dense,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_7/flat_dense_ent1e3,7
,,,,,,historical,,,0.0,,,,,,,,recovered_token_dense,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_7/token_dense_ent1e3,7
,,,,,,historical,,,0.0,,,,,,,,baseline_sare,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_7/sare_ent1e3,7
,,,,,,historical,,,0.0,,,,,,,,kl_lss_sare,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_11/kl_lss_sare,11
,,,,,,historical,,,0.0,,,,,,,,kl_lss_sare,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_19/kl_lss_sare,19
,,,,,,historical,,,0.0,,,,,,,,kl_lss_sare,keycorridor,historical,outputs/experiments/lss_claim_hardening/keycorridor/seed_7/kl_lss_sare,7
