active_compute_proxy,checkpoint_path,config_path,detail,eval/action_entropy,eval/action_greedy_match,eval/action_logit_margin,eval/action_max_prob,eval/failure_action_logit_margin,eval/failure_action_max_prob,eval/length_median,eval/long_action_max_prob,eval/short_action_max_prob,eval/success_action_logit_margin,eval/success_action_max_prob,eval_episode_length,eval_return,eval_success_rate,expert_count,expert_load_0,expert_load_1,expert_load_2,expert_load_3,lane,path_coverage_top_10,path_coverage_top_20,path_coverage_top_50,path_entropy,probe,repr/direction_norm,repr/pooled_norm,repr/token_feature_std,repr/token_norm,repr/token_pairwise_cosine,route_entropy,run_dir,seed,top_k
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/resolved_config.yaml,-,0.05792313894314011,1.0,5.988990702550271,0.9900415436491373,,,11.0,0.9898570139848049,0.9901254207692883,5.988990702550271,0.9900415436491373,10.921875,0.9606812354177237,1.0,4.0,0.24632011128194403,0.24979259675801402,0.25048550511851453,0.25340176561866146,original,0.9999999933772616,0.9999999933772616,0.9999999933772616,1.269103659523858,baseline,11.467710967015739,0.8807272899030435,0.9717341041324115,11.310502562860046,-0.012998507842609678,1.3844813277023007,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare,7,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/resolved_config.yaml,0,0.6627413023142144,1.0,2.3112953826487064,0.8113804944623262,2.3112953826487064,0.8113804944623262,250.0,,0.8113804944623262,,,250.0,0.0,0.0,4.0,0.2464349564909935,0.2492684134170413,0.2504667711406946,0.2538298458606005,original,0.9999999998509884,0.9999999998509884,0.9999999998509884,1.268063239276409,expert_ablation,11.450097961902618,1.9919243513941765,0.9631381739377975,11.308434731483459,0.014428294794633985,1.3844552778601646,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare,7,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/resolved_config.yaml,1,0.4604749457195867,1.0,2.9349555002748966,0.8296219903007149,2.9349555002748966,0.8296219903007149,250.0,,0.8296219903007149,,,250.0,0.0,0.0,4.0,0.24645737148076297,0.2493023376688361,0.2505037782639265,0.25373649401962756,original,0.9999999998509884,0.9999999998509884,0.9999999998509884,1.259443604826927,expert_ablation,11.437068557262421,1.6676498685479164,0.9673252781033516,11.29319922542572,0.002929454260854982,1.3845286357402802,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare,7,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/resolved_config.yaml,2,1.5299508134573698,1.0,0.42757220225408676,0.3876769835166633,0.42757220225408676,0.3876769835166633,250.0,,0.3876769835166633,,,250.0,0.0,0.0,4.0,0.24639067328721284,0.2485795988664031,0.2507418248653412,0.2542878871113062,original,0.9999999839961529,0.9999999839961529,0.9999999839961529,1.2581831381320954,expert_ablation,11.4187132730484,5.133943407297134,0.8608346246778965,11.253857776641846,0.20433600641787053,1.3845199223160745,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare,7,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/resolved_config.yaml,3,0.6136893324824051,1.0,1.8387628876566886,0.7779962659161538,1.8387628876566886,0.7779962659161538,250.0,,0.7779962659161538,,,250.0,0.0,0.0,4.0,0.24656614862382412,0.24873985563963652,0.25071355676651,0.2539804203659296,original,0.9999999849796295,0.9999999849796295,0.9999999849796295,1.2706148276329041,expert_ablation,11.490794808387756,3.7306109964847565,0.9121376980543137,11.24990431880951,0.10257452636957169,1.3844204300045968,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare,7,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/resolved_config.yaml,most_used_pair,1.6412816088050604,1.0,0.9341211463734507,0.42795061398111284,0.9341211463734507,0.42795061398111284,250.0,,0.42795061398111284,,,250.0,0.0,0.0,4.0,0.0,0.0,0.5,0.5,original,1.0,1.0,1.0,0.0,router_override,11.460072303295135,5.741396313667297,0.8468344251811505,11.329461590766908,0.2521668214425445,0.6931474804878235,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare,7,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare/resolved_config.yaml,uniform_topk_random,0.44247958456818015,1.0,2.555378509312868,0.8408240152485669,2.555378509312868,0.8408240152485669,250.0,,0.8408240152485669,,,250.0,0.0,0.0,4.0,0.2502287436574698,0.2501337433829904,0.2497968687042594,0.24984061844646932,original,0.9999999878406525,0.9999999878406525,0.9999999878406525,1.3824416933059693,route_randomization,11.415318972110748,2.8693449530601502,0.9434084396958351,11.288887454986572,0.052054871973581614,0.6931474804878235,outputs/reproductions/lss_claim_hardening_baseline/seed_7/kl_lss_sare,7,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare/resolved_config.yaml,-,0.08048469400316308,1.0,5.829954916853872,0.978950485306792,6.284563139668218,0.9967721038924323,10.0,0.9967721038924323,0.9659455203929462,5.498213781286647,0.9659455203929462,110.609375,0.5596187431365252,0.578125,4.0,0.24630571813290864,0.26424895013667127,0.2485006279380087,0.2409446741932207,original,0.999999993731936,0.999999993731936,0.999999993731936,0.9446581917240882,baseline,11.539728136814789,0.5367251384745786,0.9814312207315774,11.32730766582396,-0.017925533715421525,1.3837117691467196,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare,19,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare/resolved_config.yaml,0,0.8855375034557655,1.0,1.571638864688575,0.6924212417006492,1.571638864688575,0.6924212417006492,250.0,,0.6924212417006492,,,250.0,0.0,0.0,4.0,0.24763214381039142,0.2625320056825876,0.24992430965602397,0.23991151387244464,original,0.9999999970793724,0.9999999970793724,0.9999999970793724,0.9806826134324074,expert_ablation,11.52316303062439,1.9140585567355155,0.9666784237325191,11.317941960334778,0.011032442813040689,1.3838735011219978,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare,19,2.0
0.5,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare/latest.pt,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare/resolved_config.yaml,1,1.070294694375247,1.0,0.6890443706139922,0.5602676780819893,0.6890443706139922,0.5602676780819893,250.0,,0.5602676780819893,,,250.0,0.0,0.0,4.0,0.24722178550809623,0.2629474983662367,0.24953710263222456,0.24029358736425638,original,0.9999999827444553,0.9999999827444553,0.9999999827444553,1.0217467267513276,expert_ablation,11.559174013614655,4.775478468894958,0.8838313500583171,11.269898633480071,0.172685030028224,1.383838541150093,outputs/reproductions/lss_claim_hardening_baseline/seed_19/kl_lss_sare,19,2.0
