variant,mean,min,max,complete_seed_failures,seed_count
baseline_sare,0.0000,0.0000,0.0000,3,3
kl_lss_sare,0.5000,0.0000,1.0000,1,3
recovered_token_dense,0.5677,0.0000,1.0000,1,3
