variant,mean,min,max,complete_seed_failures,seed_count
baseline_sare,0.0000,0.0000,0.0000,12,12
kl_lss_sare,0.7122,0.0000,1.0000,1,12
kl_lss_single_expert,0.7604,0.0000,1.0000,1,9
kl_lss_token_dense,0.6354,0.0000,1.0000,4,12
recovered_token_dense,0.5586,0.0000,1.0000,5,12
