variant,mean,min,max,complete_seed_failures,seed_count
baseline_sare,0.0000,0.0000,0.0000,12,12
flat_dense,1.0000,1.0000,1.0000,0,12
kl_lss_sare,0.8125,0.4688,1.0000,0,12
kl_lss_single_expert,0.6667,0.0000,1.0000,1,3
kl_lss_token_dense,0.5521,0.0000,1.0000,5,12
recovered_token_dense,0.4505,0.0000,1.0000,6,12
